Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,21,11,2,74,74,21,53,1
Ajax,34,20,9,5,69,85,36,49,2
AZ,34,19,9,6,66,75,30,45,3
FC Twente,34,18,9,7,63,61,32,29,4
Sparta Rotterdam,34,14,12,8,54,54,33,21,5
Roda JC Kerkrade,34,12,12,10,48,41,40,1,6
FC Volendam,34,13,8,13,47,50,58,-8,7
FC Utrecht,34,11,11,12,44,40,45,-5,8
Vitesse,34,10,13,11,43,48,62,-14,9
Feyenoord,34,10,12,12,42,52,47,5,10
NAC Breda,34,10,11,13,41,37,51,-14,11
ADO Den Haag,34,11,6,17,39,45,57,-12,12
Go Ahead Eagles,34,11,5,18,38,49,53,-4,13
N.E.C.,34,10,8,16,38,39,59,-20,14
VVV-Venlo,34,9,10,15,37,46,66,-20,15
HFC Haarlem,34,8,12,14,36,37,55,-18,16
FC Amsterdam,34,9,8,17,35,41,73,-32,17
Telstar,34,3,8,23,17,25,81,-56,18
