Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
16-08-1975,PSV,MVV,5,1,Gewonnen
16-08-1975,Sparta,Ajax,1,1,Gelijk
17-08-1975,FC Amsterdam,NAC,2,1,Gewonnen
17-08-1975,RV & AV Excelsior,Telstar,1,5,Verloren
17-08-1975,FC Utrecht,Feyenoord,1,2,Verloren
17-08-1975,FC Den Haag/ADO,FC Twente,0,1,Verloren
17-08-1975,De Graafschap,NEC,2,1,Gewonnen
17-08-1975,Roda JC,EVV Eindhoven,1,2,Verloren
17-08-1975,AZ '67,Go Ahead Eagles,0,0,Gelijk
24-08-1975,MVV,De Graafschap,2,2,Gelijk
24-08-1975,Telstar,FC Den Haag/ADO,2,2,Gelijk
24-08-1975,Ajax,RV & AV Excelsior,2,0,Gewonnen
24-08-1975,NEC,AZ '67,1,0,Gewonnen
24-08-1975,Feyenoord,FC Amsterdam,4,0,Gewonnen
24-08-1975,EVV Eindhoven,PSV,1,5,Verloren
24-08-1975,Go Ahead Eagles,FC Utrecht,2,2,Gelijk
24-08-1975,FC Twente,Roda JC,3,2,Gewonnen
30-08-1975,Roda JC,Telstar,2,2,Gelijk
30-08-1975,PSV,FC Twente,3,0,Gewonnen
30-08-1975,FC Utrecht,NEC,0,3,Verloren
31-08-1975,RV & AV Excelsior,Sparta,0,2,Verloren
31-08-1975,Feyenoord,NAC,4,0,Gewonnen
31-08-1975,AZ '67,MVV,2,0,Gewonnen
31-08-1975,FC Amsterdam,Go Ahead Eagles,6,2,Gewonnen
31-08-1975,FC Den Haag/ADO,Ajax,1,3,Verloren
31-08-1975,De Graafschap,EVV Eindhoven,1,1,Gelijk
07-09-1975,De Graafschap,Telstar,5,3,Gewonnen
07-09-1975,NAC,Sparta,1,1,Gelijk
13-09-1975,Ajax,Roda JC,2,1,Gewonnen
13-09-1975,Go Ahead Eagles,Feyenoord,0,1,Verloren
13-09-1975,NEC,FC Amsterdam,1,1,Gelijk
13-09-1975,Sparta,FC Den Haag/ADO,2,2,Gelijk
14-09-1975,FC Twente,De Graafschap,8,0,Gewonnen
14-09-1975,EVV Eindhoven,AZ '67,1,3,Verloren
14-09-1975,MVV,FC Utrecht,3,1,Gewonnen
14-09-1975,NAC,RV & AV Excelsior,0,0,Gelijk
14-09-1975,Telstar,PSV,0,0,Gelijk
20-09-1975,FC Utrecht,EVV Eindhoven,2,2,Gelijk
20-09-1975,Roda JC,Sparta,1,0,Gewonnen
20-09-1975,FC Amsterdam,MVV,0,0,Gelijk
20-09-1975,PSV,Ajax,6,2,Gewonnen
20-09-1975,Go Ahead Eagles,NAC,0,0,Gelijk
21-09-1975,FC Den Haag/ADO,RV & AV Excelsior,1,0,Gewonnen
21-09-1975,AZ '67,FC Twente,1,2,Verloren
21-09-1975,Feyenoord,NEC,3,3,Gelijk
27-09-1975,Ajax,De Graafschap,3,0,Gewonnen
27-09-1975,NEC,Go Ahead Eagles,3,3,Gelijk
27-09-1975,Sparta,PSV,1,0,Gewonnen
28-09-1975,EVV Eindhoven,FC Amsterdam,2,1,Gewonnen
28-09-1975,RV & AV Excelsior,Roda JC,1,2,Verloren
28-09-1975,Telstar,AZ '67,1,1,Gelijk
28-09-1975,FC Twente,FC Utrecht,2,0,Gewonnen
28-09-1975,NAC,FC Den Haag/ADO,2,0,Gewonnen
28-09-1975,MVV,Feyenoord,1,1,Gelijk
04-10-1975,Go Ahead Eagles,MVV,2,3,Verloren
04-10-1975,PSV,RV & AV Excelsior,6,0,Gewonnen
05-10-1975,NEC,NAC,0,0,Gelijk
05-10-1975,FC Amsterdam,FC Twente,1,1,Gelijk
