Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,24,5,5,53,89,27,62
Feyenoord,34,23,6,5,52,88,40,48
Ajax,34,21,8,5,50,74,38,36
FC Twente,34,19,8,7,46,64,32,32
AZ,34,15,9,10,39,46,39,7
ADO Den Haag,34,15,7,12,37,65,51,14
N.E.C.,34,11,15,8,37,43,38,5
Roda JC Kerkrade,34,13,11,10,37,40,36,4
Telstar,34,7,15,12,29,42,48,-6
Sparta Rotterdam,34,7,15,12,29,32,42,-10
NAC Breda,34,9,10,15,28,26,53,-27
De Graafschap,34,7,14,13,28,41,69,-28
Go Ahead Eagles,34,6,15,13,27,43,58,-15
FC Utrecht,34,9,9,16,27,36,57,-21
FC Eindhoven,34,9,9,16,27,40,63,-23
FC Amsterdam,34,7,10,17,24,39,52,-13
MVV Maastricht,34,8,7,19,23,34,64,-30
Excelsior Rotterdam,34,7,5,22,19,24,59,-35
