Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,24,5,5,77,89,27,62,1
Feyenoord,34,23,6,5,75,88,40,48,2
Ajax,34,21,8,5,71,74,38,36,3
FC Twente,34,19,8,7,65,64,32,32,4
AZ,34,15,9,10,54,46,39,7,5
ADO Den Haag,34,15,7,12,52,65,51,14,6
Roda JC Kerkrade,34,13,11,10,50,40,36,4,7
N.E.C.,34,11,15,8,48,43,38,5,8
NAC Breda,34,9,10,15,37,26,53,-27,9
Telstar,34,7,15,12,36,42,48,-6,10
Sparta Rotterdam,34,7,15,12,36,32,42,-10,11
FC Utrecht,34,9,9,16,36,36,57,-21,12
FC Eindhoven,34,9,9,16,36,40,63,-23,13
De Graafschap,34,7,14,13,35,41,69,-28,14
Go Ahead Eagles,34,6,15,13,33,43,58,-15,15
FC Amsterdam,34,7,10,17,31,39,52,-13,16
MVV Maastricht,34,8,7,19,31,34,64,-30,17
Excelsior Rotterdam,34,7,5,22,26,24,59,-35,18
