Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
FC Twente,34,27,5,2,86,63,23,40,1
Ajax,34,27,4,3,85,106,20,86,2
PSV,34,23,9,2,78,72,29,43,3
Feyenoord,34,17,12,5,63,54,31,23,4
AZ,34,19,5,10,62,64,34,30,5
Heracles Almelo,34,17,5,12,56,54,49,5,6
FC Utrecht,34,14,11,9,53,39,33,6,7
FC Groningen,34,14,7,13,49,48,47,1,8
Roda JC Kerkrade,34,14,5,15,47,56,60,-4,9
NAC Breda,34,12,10,12,46,42,49,-7,10
sc Heerenveen,34,11,4,19,37,44,64,-20,11
VVV-Venlo,34,8,11,15,35,43,57,-14,12
N.E.C.,34,8,9,17,33,35,59,-24,13
Vitesse,34,8,8,18,32,38,62,-24,14
ADO Den Haag,34,7,9,18,30,38,59,-21,15
Sparta Rotterdam,34,6,8,20,26,30,66,-36,16
Willem II,34,7,2,25,23,36,70,-34,17
RKC Waalwijk,34,5,0,29,15,30,80,-50,18
