Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,30,24,4,2,76,79,25,54,1
Feyenoord,30,21,3,6,66,65,30,35,2
ADO Den Haag,30,15,9,6,54,72,37,35,3
AFC DWS,30,15,6,9,51,48,30,18,4
Go Ahead Eagles,30,14,8,8,50,49,33,16,5
GVAV,30,12,7,11,43,43,43,0,6
Sparta Rotterdam,30,12,5,13,41,53,51,2,7
PSV,30,10,8,12,38,57,53,4,8
Willem II,30,11,3,16,36,42,59,-17,9
Fortuna '54,30,9,8,13,35,36,54,-18,10
FC Twente,30,9,6,15,33,43,61,-18,11
DOS,30,9,6,15,33,48,72,-24,12
Telstar,30,8,6,16,30,39,52,-13,13
USV Elinkwijk,30,7,8,15,29,37,64,-27,14
MVV Maastricht,30,6,9,15,27,36,56,-20,15
Heracles Almelo,30,5,10,15,25,32,59,-27,16
