Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
22-08-1965,Fortuna '54,AFC DWS,1,3,Verloren
22-08-1965,USV Elinkwijk,MVV Maastricht,2,2,Gelijk
22-08-1965,Feyenoord,PSV,3,2,Gewonnen
22-08-1965,ADO Den Haag,Sparta Rotterdam,2,2,Gelijk
22-08-1965,Ajax,DOS,2,1,Gewonnen
22-08-1965,Willem II,Go Ahead Eagles,1,0,Gewonnen
22-08-1965,FC Twente,Telstar,1,1,Gelijk
22-08-1965,GVAV,Heracles Almelo,1,1,Gelijk
29-08-1965,Sparta Rotterdam,GVAV,1,2,Verloren
29-08-1965,DOS,Fortuna '54,2,2,Gelijk
29-08-1965,AFC DWS,ADO Den Haag,2,1,Gewonnen
29-08-1965,PSV,USV Elinkwijk,1,1,Gelijk
29-08-1965,Go Ahead Eagles,FC Twente,2,0,Gewonnen
29-08-1965,Telstar,Feyenoord,0,2,Verloren
29-08-1965,Heracles Almelo,Willem II,0,3,Verloren
29-08-1965,MVV Maastricht,Ajax,0,1,Verloren
04-09-1965,Feyenoord,Go Ahead Eagles,0,0,Gelijk
05-09-1965,USV Elinkwijk,Telstar,3,3,Gelijk
05-09-1965,Ajax,PSV,2,0,Gewonnen
05-09-1965,ADO Den Haag,Fortuna '54,1,1,Gelijk
05-09-1965,MVV Maastricht,DOS,2,2,Gelijk
05-09-1965,Willem II,Sparta Rotterdam,1,3,Verloren
05-09-1965,GVAV,AFC DWS,0,0,Gelijk
05-09-1965,FC Twente,Heracles Almelo,4,1,Gewonnen
12-09-1965,Sparta Rotterdam,FC Twente,3,4,Verloren
12-09-1965,Fortuna '54,GVAV,0,0,Gelijk
12-09-1965,AFC DWS,Willem II,0,0,Gelijk
12-09-1965,DOS,ADO Den Haag,0,7,Verloren
12-09-1965,Telstar,Ajax,1,2,Verloren
12-09-1965,PSV,MVV Maastricht,2,1,Gewonnen
12-09-1965,Heracles Almelo,Feyenoord,1,3,Verloren
12-09-1965,Go Ahead Eagles,USV Elinkwijk,3,0,Gewonnen
26-09-1965,Feyenoord,Sparta Rotterdam,2,0,Gewonnen
26-09-1965,USV Elinkwijk,Heracles Almelo,1,0,Gewonnen
26-09-1965,Ajax,Go Ahead Eagles,4,0,Gewonnen
26-09-1965,FC Twente,AFC DWS,0,3,Verloren
26-09-1965,MVV Maastricht,Telstar,0,1,Verloren
26-09-1965,PSV,DOS,2,0,Gewonnen
26-09-1965,Willem II,Fortuna '54,0,2,Verloren
26-09-1965,GVAV,ADO Den Haag,1,1,Gelijk
03-10-1965,Sparta Rotterdam,USV Elinkwijk,2,1,Gewonnen
03-10-1965,Fortuna '54,FC Twente,1,3,Verloren
03-10-1965,DOS,GVAV,3,2,Gewonnen
03-10-1965,ADO Den Haag,Willem II,4,0,Gewonnen
03-10-1965,AFC DWS,Feyenoord,2,0,Gewonnen
03-10-1965,Go Ahead Eagles,MVV Maastricht,1,1,Gelijk
03-10-1965,Telstar,PSV,3,1,Gewonnen
03-10-1965,Heracles Almelo,Ajax,1,1,Gelijk
10-10-1965,Feyenoord,Fortuna '54,1,0,Gewonnen
10-10-1965,Ajax,Sparta Rotterdam,0,1,Verloren
10-10-1965,USV Elinkwijk,AFC DWS,1,0,Gewonnen
10-10-1965,FC Twente,ADO Den Haag,0,0,Gelijk
10-10-1965,MVV Maastricht,Heracles Almelo,2,2,Gelijk
10-10-1965,Telstar,DOS,1,0,Gewonnen
10-10-1965,PSV,Go Ahead Eagles,2,2,Gelijk
10-10-1965,Willem II,GVAV,4,0,Gewonnen
24-10-1965,Fortuna '54,USV Elinkwijk,3,0,Gewonnen
24-10-1965,Sparta Rotterdam,MVV Maastricht,7,2,Gewonnen
24-10-1965,DOS,Willem II,0,2,Verloren
24-10-1965,AFC DWS,Ajax,0,2,Verloren
24-10-1965,ADO Den Haag,Feyenoord,2,1,Gewonnen
24-10-1965,Heracles Almelo,PSV,0,3,Verloren
24-10-1965,GVAV,FC Twente,0,2,Verloren
24-10-1965,Go Ahead Eagles,Telstar,2,1,Gewonnen
31-10-1965,USV Elinkwijk,ADO Den Haag,1,1,Gelijk
31-10-1965,Feyenoord,GVAV,1,2,Verloren
31-10-1965,Ajax,Fortuna '54,5,1,Gewonnen
31-10-1965,FC Twente,Willem II,6,1,Gewonnen
31-10-1965,Telstar,Heracles Almelo,0,2,Verloren
31-10-1965,MVV Maastricht,AFC DWS,0,1,Verloren
31-10-1965,Go Ahead Eagles,DOS,1,1,Gelijk
31-10-1965,PSV,Sparta Rotterdam,2,1,Gewonnen
28-11-1965,DOS,FC Twente,3,0,Gewonnen
28-11-1965,AFC DWS,PSV,2,2,Gelijk
28-11-1965,Fortuna '54,MVV Maastricht,3,3,Gelijk
28-11-1965,ADO Den Haag,Ajax,2,3,Verloren
28-11-1965,Sparta Rotterdam,Telstar,1,0,Gewonnen
28-11-1965,Willem II,Feyenoord,3,4,Verloren
05-12-1965,Ajax,GVAV,5,1,Gewonnen
05-12-1965,PSV,Fortuna '54,2,2,Gelijk
05-12-1965,Heracles Almelo,DOS,2,2,Gelijk
05-12-1965,Go Ahead Eagles,Sparta Rotterdam,2,2,Gelijk
05-12-1965,Telstar,AFC DWS,2,2,Gelijk
12-12-1965,Fortuna '54,Telstar,2,1,Gewonnen
12-12-1965,AFC DWS,Go Ahead Eagles,1,2,Verloren
12-12-1965,Sparta Rotterdam,Heracles Almelo,6,0,Gewonnen
12-12-1965,ADO Den Haag,PSV,1,3,Verloren
12-12-1965,DOS,Feyenoord,0,3,Verloren
