Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,30,24,4,2,52,79,25,54,1
Feyenoord,30,21,3,6,45,65,30,35,2
ADO Den Haag,30,15,9,6,39,72,37,35,3
AFC DWS,30,15,6,9,36,48,30,18,4
Go Ahead Eagles,30,14,8,8,36,49,33,16,5
GVAV,30,12,7,11,31,43,43,0,6
Sparta Rotterdam,30,12,5,13,29,53,51,2,7
PSV,30,10,8,12,28,57,53,4,8
Fortuna '54,30,9,8,13,26,36,54,-18,9
Willem II,30,11,3,16,25,42,59,-17,10
FC Twente,30,9,6,15,24,43,61,-18,11
DOS,30,9,6,15,24,48,72,-24,12
Telstar,30,8,6,16,22,39,52,-13,13
USV Elinkwijk,30,7,8,15,22,37,64,-27,14
MVV Maastricht,30,6,9,15,21,36,56,-20,15
Heracles Almelo,30,5,10,15,20,32,59,-27,16
