Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,26,6,2,84,71,23,48,1
AZ,34,23,5,6,74,78,32,46,2
Feyenoord,34,21,8,5,71,79,34,45,3
Ajax,34,18,6,10,60,66,41,25,4
FC Groningen,34,16,8,10,56,46,43,3,5
FC Utrecht,34,16,7,11,55,48,44,4,6
sc Heerenveen,34,14,8,12,50,63,58,5,7
Roda JC Kerkrade,34,15,5,14,50,57,54,3,8
FC Twente,34,13,8,13,47,44,36,8,9
N.E.C.,34,13,8,13,47,43,43,0,10
Vitesse,34,13,5,16,44,52,54,-2,11
RKC Waalwijk,34,11,6,17,39,48,58,-10,12
Heracles Almelo,34,11,6,17,39,35,58,-23,13
Sparta Rotterdam,34,10,7,17,37,34,50,-16,14
ADO Den Haag,34,10,5,19,35,36,62,-26,15
NAC Breda,34,8,9,17,33,45,66,-21,16
Willem II,34,7,7,20,28,45,66,-21,17
RBC Roosendaal,34,1,6,27,9,22,90,-68,18
