Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
13-08-2021,Go Ahead Eagles,sc Heerenveen,0,1,Verloren
14-08-2021,RKC Waalwijk,AZ,1,0,Gewonnen
14-08-2021,Heracles Almelo,PSV,0,2,Verloren
14-08-2021,Fortuna Sittard,FC Twente,2,1,Gewonnen
14-08-2021,Ajax,NEC,5,0,Gewonnen
15-08-2021,SC Cambuur,FC Groningen,1,2,Verloren
15-08-2021,PEC Zwolle,Vitesse,0,1,Verloren
15-08-2021,FC Utrecht,Sparta Rotterdam,4,0,Gewonnen
15-08-2021,Willem II,Feyenoord,0,4,Verloren
20-08-2021,NEC,PEC Zwolle,2,0,Gewonnen
21-08-2021,sc Heerenveen,RKC Waalwijk,3,2,Gewonnen
21-08-2021,Sparta Rotterdam,Heracles Almelo,1,1,Gelijk
21-08-2021,PSV,SC Cambuur,4,1,Gewonnen
21-08-2021,FC Groningen,FC Utrecht,0,0,Gelijk
22-08-2021,FC Twente,Ajax,1,1,Gelijk
22-08-2021,Feyenoord,Go Ahead Eagles,2,0,Gewonnen
22-08-2021,Vitesse,Willem II,0,3,Verloren
27-08-2021,Fortuna Sittard,RKC Waalwijk,2,2,Gelijk
28-08-2021,SC Cambuur,FC Twente,2,0,Gewonnen
28-08-2021,PSV,FC Groningen,5,2,Gewonnen
28-08-2021,Go Ahead Eagles,Sparta Rotterdam,2,0,Gewonnen
28-08-2021,Willem II,PEC Zwolle,1,0,Gewonnen
29-08-2021,FC Utrecht,Feyenoord,3,1,Gewonnen
29-08-2021,Ajax,Vitesse,5,0,Gewonnen
29-08-2021,Heracles Almelo,NEC,0,1,Verloren
29-08-2021,sc Heerenveen,AZ,1,3,Verloren
11-09-2021,FC Twente,FC Utrecht,1,0,Gewonnen
11-09-2021,SC Cambuur,Go Ahead Eagles,5,2,Gewonnen
11-09-2021,PEC Zwolle,Ajax,0,2,Verloren
11-09-2021,AZ,PSV,0,3,Verloren
12-09-2021,NEC,Willem II,0,0,Gelijk
12-09-2021,FC Groningen,sc Heerenveen,1,1,Gelijk
12-09-2021,Sparta Rotterdam,Fortuna Sittard,3,1,Gewonnen
12-09-2021,RKC Waalwijk,Vitesse,1,2,Verloren
17-09-2021,Sparta Rotterdam,NEC,1,1,Gelijk
18-09-2021,sc Heerenveen,Fortuna Sittard,1,0,Gewonnen
18-09-2021,Willem II,FC Groningen,2,1,Gewonnen
18-09-2021,Ajax,SC Cambuur,9,0,Gewonnen
18-09-2021,FC Utrecht,RKC Waalwijk,2,2,Gelijk
19-09-2021,Go Ahead Eagles,PEC Zwolle,1,0,Gewonnen
19-09-2021,PSV,Feyenoord,0,4,Verloren
19-09-2021,Heracles Almelo,AZ,3,2,Gewonnen
19-09-2021,Vitesse,FC Twente,1,4,Verloren
21-09-2021,Fortuna Sittard,Ajax,0,5,Verloren
21-09-2021,RKC Waalwijk,Willem II,1,2,Verloren
22-09-2021,NEC,FC Utrecht,0,3,Verloren
22-09-2021,Go Ahead Eagles,PSV,1,2,Verloren
22-09-2021,FC Groningen,Vitesse,0,1,Verloren
22-09-2021,Feyenoord,sc Heerenveen,3,1,Gewonnen
22-09-2021,PEC Zwolle,Sparta Rotterdam,1,1,Gelijk
23-09-2021,SC Cambuur,Heracles Almelo,2,1,Gewonnen
23-09-2021,FC Twente,AZ,3,1,Gewonnen
25-09-2021,Willem II,PSV,2,1,Gewonnen
25-09-2021,Vitesse,Fortuna Sittard,1,1,Gelijk
25-09-2021,Ajax,FC Groningen,3,0,Gewonnen
25-09-2021,FC Utrecht,PEC Zwolle,5,1,Gewonnen
25-09-2021,Feyenoord,NEC,5,3,Gewonnen
26-09-2021,Sparta Rotterdam,SC Cambuur,0,4,Verloren
26-09-2021,AZ,Go Ahead Eagles,5,0,Gewonnen
26-09-2021,sc Heerenveen,FC Twente,2,3,Verloren
26-09-2021,Heracles Almelo,RKC Waalwijk,1,0,Gewonnen
01-10-2021,FC Groningen,FC Twente,1,1,Gelijk
02-10-2021,RKC Waalwijk,Go Ahead Eagles,1,1,Gelijk
