Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,26,5,3,83,98,19,79,1
PSV,34,26,3,5,81,86,42,44,2
Feyenoord,34,22,5,7,71,76,34,42,3
FC Twente,34,20,8,6,68,55,37,18,4
AZ,34,18,7,9,61,64,44,20,5
Vitesse,34,15,6,13,51,42,51,-9,6
FC Utrecht,34,12,11,11,47,51,46,5,7
sc Heerenveen,34,11,8,15,41,37,50,-13,8
SC Cambuur,34,11,6,17,39,53,70,-17,9
RKC Waalwijk,34,9,11,14,38,40,51,-11,10
N.E.C.,34,10,8,16,38,38,52,-14,11
Go Ahead Eagles,34,10,6,18,36,37,51,-14,12
FC Groningen,34,9,9,16,36,41,55,-14,13
Sparta Rotterdam,34,8,11,15,35,30,48,-18,14
Fortuna Sittard,34,10,5,19,35,36,67,-31,15
Heracles Almelo,34,9,7,18,34,33,49,-16,16
Willem II,34,9,6,19,33,32,57,-25,17
PEC Zwolle,34,7,6,21,27,26,52,-26,18
