Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,25,8,1,83,73,23,50,1
Feyenoord,34,21,3,10,66,67,37,30,2
Ajax,34,18,7,9,61,85,43,42,3
Roda JC Kerkrade,34,17,8,9,59,59,41,18,4
FC Utrecht,34,17,8,9,59,58,43,15,5
Vitesse,34,16,11,7,59,56,43,13,6
RKC Waalwijk,34,16,11,7,59,48,36,12,7
Willem II,34,14,9,11,51,60,50,10,8
NAC Breda,34,13,10,11,49,41,40,1,9
sc Heerenveen,34,11,14,9,47,51,42,9,10
FC Twente,34,10,11,13,41,47,60,-13,11
N.E.C.,34,9,13,12,40,42,53,-11,12
AZ,34,9,8,17,35,45,63,-18,13
FC Groningen,34,8,9,17,33,36,56,-20,14
De Graafschap,34,9,4,21,31,44,66,-22,15
Fortuna Sittard,34,8,7,19,31,31,64,-33,16
Sparta Rotterdam,34,6,7,21,25,42,72,-30,17
RBC Roosendaal,34,4,2,28,14,37,90,-53,18
