Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,34,25,7,2,82,81,30,51
PSV,34,23,6,5,75,89,40,49
Ajax,34,20,9,5,69,86,38,48
AZ,34,20,7,7,67,68,35,33
FC Twente,34,18,10,6,64,66,27,39
Sparta Rotterdam,34,17,8,9,59,60,37,23
FC Utrecht,34,15,9,10,54,55,50,5
sc Heerenveen,34,12,10,12,46,44,50,-6
RKC Waalwijk,34,11,8,15,41,50,64,-14
Vitesse,34,10,10,14,40,45,50,-5
Go Ahead Eagles,34,10,10,14,40,46,56,-10
N.E.C.,34,8,15,11,39,42,45,-3
Fortuna Sittard,34,10,6,18,36,39,62,-23
FC Volendam,34,10,6,18,36,42,71,-29
Excelsior Rotterdam,34,9,5,20,32,32,71,-39
FC Emmen,34,6,10,18,28,33,65,-32
SC Cambuur,34,5,4,25,19,26,69,-43
FC Groningen,34,4,6,24,18,31,75,-44
