Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,25,7,2,82,81,30,51,1
PSV,34,23,6,5,75,89,40,49,2
Ajax,34,20,9,5,69,86,38,48,3
AZ,34,20,7,7,67,68,35,33,4
FC Twente,34,18,10,6,64,66,27,39,5
Sparta Rotterdam,34,17,8,9,59,60,37,23,6
FC Utrecht,34,15,9,10,54,55,50,5,7
sc Heerenveen,34,12,10,12,46,44,50,-6,8
RKC Waalwijk,34,11,8,15,41,50,64,-14,9
Vitesse,34,10,10,14,40,45,50,-5,10
Go Ahead Eagles,34,10,10,14,40,46,56,-10,11
N.E.C.,34,8,15,11,39,42,45,-3,12
Fortuna Sittard,34,10,6,18,36,39,62,-23,13
FC Volendam,34,10,6,18,36,42,71,-29,14
Excelsior Rotterdam,34,9,5,20,32,32,71,-39,15
FC Emmen,34,6,10,18,28,33,65,-32,16
SC Cambuur,34,5,4,25,19,26,69,-43,17
FC Groningen,34,4,6,24,18,31,75,-44,18
