Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
26-08-1994,sc Heerenveen,FC Groningen,2,0,Gewonnen
27-08-1994,Roda JC,FC Twente,1,1,Gelijk
28-08-1994,NEC,FC Utrecht,2,3,Verloren
28-08-1994,FC Volendam,Go Ahead Eagles,3,0,Gewonnen
28-08-1994,Vitesse,PSV,2,4,Verloren
28-08-1994,Dordrecht '90,Feyenoord,1,1,Gelijk
28-08-1994,Ajax,RKC,3,1,Gewonnen
28-08-1994,Willem II,NAC,2,0,Gewonnen
31-08-1994,RKC,Roda JC,1,1,Gelijk
31-08-1994,Sparta,Feyenoord,0,1,Verloren
31-08-1994,NAC,Vitesse,0,0,Gelijk
31-08-1994,FC Twente,Dordrecht '90,2,2,Gelijk
31-08-1994,FC Utrecht,sc Heerenveen,4,0,Gewonnen
31-08-1994,PSV,Go Ahead Eagles,4,1,Gewonnen
31-08-1994,FC Groningen,Willem II,3,1,Gewonnen
31-08-1994,MVV,NEC,1,2,Verloren
10-09-1994,sc Heerenveen,MVV,0,4,Verloren
10-09-1994,Sparta,FC Twente,3,4,Verloren
10-09-1994,Dordrecht '90,RKC,0,1,Verloren
11-09-1994,Ajax,Vitesse,5,0,Gewonnen
11-09-1994,Willem II,FC Utrecht,0,1,Verloren
11-09-1994,FC Groningen,NAC,3,4,Verloren
11-09-1994,Go Ahead Eagles,Feyenoord,2,2,Gelijk
11-09-1994,NEC,FC Volendam,0,0,Gelijk
17-09-1994,MVV,Willem II,3,0,Gewonnen
17-09-1994,PSV,Dordrecht '90,4,0,Gewonnen
18-09-1994,Vitesse,Roda JC,1,1,Gelijk
18-09-1994,FC Volendam,sc Heerenveen,1,2,Verloren
18-09-1994,FC Twente,Go Ahead Eagles,3,0,Gewonnen
18-09-1994,RKC,Sparta,2,2,Gelijk
18-09-1994,FC Utrecht,FC Groningen,2,1,Gewonnen
21-09-1994,Roda JC,Ajax,1,1,Gelijk
21-09-1994,Willem II,FC Volendam,4,0,Gewonnen
21-09-1994,Dordrecht '90,Vitesse,0,0,Gelijk
21-09-1994,NEC,FC Twente,0,1,Verloren
21-09-1994,Go Ahead Eagles,RKC,4,2,Gewonnen
21-09-1994,Sparta,PSV,1,1,Gelijk
21-09-1994,sc Heerenveen,Feyenoord,0,4,Verloren
21-09-1994,FC Groningen,MVV,0,1,Verloren
24-09-1994,FC Twente,sc Heerenveen,4,3,Gewonnen
24-09-1994,NAC,Roda JC,2,4,Verloren
24-09-1994,Vitesse,Sparta,2,0,Gewonnen
24-09-1994,Ajax,Dordrecht '90,3,0,Gewonnen
24-09-1994,MVV,FC Utrecht,3,2,Gewonnen
25-09-1994,Feyenoord,Willem II,0,2,Verloren
25-09-1994,FC Volendam,FC Groningen,1,1,Gelijk
25-09-1994,RKC,NEC,1,3,Verloren
30-09-1994,NEC,PSV,2,2,Gelijk
01-10-1994,Willem II,FC Twente,2,2,Gelijk
01-10-1994,Dordrecht '90,Roda JC,0,3,Verloren
01-10-1994,Go Ahead Eagles,Vitesse,0,0,Gelijk
01-10-1994,sc Heerenveen,RKC,1,0,Gewonnen
01-10-1994,MVV,NAC,2,3,Verloren
02-10-1994,Sparta,Ajax,0,2,Verloren
02-10-1994,FC Groningen,Feyenoord,1,1,Gelijk
02-10-1994,FC Utrecht,FC Volendam,0,0,Gelijk
08-10-1994,Go Ahead Eagles,MVV,1,1,Gelijk
09-10-1994,Sparta,FC Volendam,2,0,Gewonnen
09-10-1994,FC Utrecht,NAC,2,2,Gelijk
14-10-1994,Roda JC,Sparta,1,0,Gewonnen
15-10-1994,PSV,sc Heerenveen,3,1,Gewonnen
15-10-1994,NAC,Dordrecht '90,1,1,Gelijk
