Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,27,6,1,87,100,23,77,1
Feyenoord,34,22,11,1,77,81,22,59,2
PSV,34,19,8,7,65,70,34,36,3
FC Twente,34,17,8,9,59,62,43,19,4
Sparta Rotterdam,34,16,9,9,57,56,41,15,5
ADO Den Haag,34,14,12,8,54,56,33,23,6
Go Ahead Eagles,34,11,13,10,46,40,42,-2,7
Holland Sport,34,13,7,14,46,48,63,-15,8
MVV Maastricht,34,10,14,10,44,45,45,0,9
NAC Breda,34,11,10,13,43,40,54,-14,10
N.E.C.,34,8,15,11,39,31,39,-8,11
AZ,34,8,12,14,36,31,48,-17,12
HFC Haarlem,34,6,15,13,33,23,36,-13,13
AFC DWS,34,9,6,19,33,26,50,-24,14
DOS,34,7,9,18,30,27,64,-37,15
Telstar,34,5,14,15,29,33,48,-15,16
GVAV,34,7,8,19,29,20,45,-25,17
SVV,34,5,5,24,20,31,90,-59,18
