Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
16-08-1986,Go Ahead Eagles,Sportclub Excelsior,1,0,Gewonnen
16-08-1986,Sparta,PSV,1,1,Gelijk
16-08-1986,Fortuna Sittard,Haarlem,0,0,Gelijk
16-08-1986,VVV,FC Den Bosch '67,0,0,Gelijk
17-08-1986,AZ,FC Groningen,0,4,Verloren
17-08-1986,FC Utrecht,FC Twente,1,2,Verloren
17-08-1986,Feyenoord,PEC Zwolle '82,3,2,Gewonnen
20-08-1986,FC Den Haag,Go Ahead Eagles,0,1,Verloren
20-08-1986,PEC Zwolle '82,FC Utrecht,2,4,Verloren
20-08-1986,Roda JC,Fortuna Sittard,2,0,Gewonnen
20-08-1986,Sportclub Excelsior,Sparta,0,2,Verloren
20-08-1986,FC Twente,AZ,1,0,Gewonnen
20-08-1986,Haarlem,Veendam,0,0,Gelijk
23-08-1986,PEC Zwolle '82,FC Den Bosch '67,0,1,Verloren
23-08-1986,PSV,Go Ahead Eagles,2,0,Gewonnen
24-08-1986,Roda JC,AZ,1,0,Gewonnen
24-08-1986,FC Den Haag,Fortuna Sittard,0,4,Verloren
24-08-1986,Sportclub Excelsior,Veendam,1,0,Gewonnen
24-08-1986,FC Twente,Feyenoord,2,2,Gelijk
24-08-1986,Haarlem,Ajax,0,3,Verloren
24-08-1986,FC Groningen,FC Utrecht,3,0,Gewonnen
24-08-1986,Sparta,VVV,4,0,Gewonnen
27-08-1986,Veendam,PSV,0,3,Verloren
27-08-1986,Fortuna Sittard,Sportclub Excelsior,3,0,Gewonnen
27-08-1986,FC Utrecht,Roda JC,0,1,Verloren
27-08-1986,Go Ahead Eagles,Sparta,0,3,Verloren
27-08-1986,VVV,PEC Zwolle '82,1,1,Gelijk
27-08-1986,FC Den Bosch '67,FC Twente,0,0,Gelijk
27-08-1986,AZ,Haarlem,0,1,Verloren
27-08-1986,Feyenoord,FC Groningen,1,1,Gelijk
27-08-1986,Ajax,FC Den Haag,2,3,Verloren
