Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,20,10,4,50,88,35,53,1
PSV,34,21,7,6,49,85,43,42,2
Blauw-Wit,34,16,9,9,41,71,54,17,3
Ajax,34,16,7,11,39,80,59,21,4
NAC Breda,34,15,8,11,38,60,49,11,5
MVV Maastricht,34,12,12,10,36,55,46,9,6
FC Volendam,34,15,4,15,34,69,76,-7,7
Willem II,34,14,5,15,33,63,52,11,8
Sparta Rotterdam,34,12,9,13,33,46,50,-4,9
DOS,34,10,12,12,32,61,62,-1,10
De Volewijckers,34,13,6,15,32,68,87,-19,11
Fortuna '54,34,11,9,14,31,57,61,-4,12
GVAV,34,8,14,12,30,48,61,-13,13
SC Enschede,34,11,8,15,30,55,69,-14,14
ADO Den Haag,34,9,11,14,29,58,69,-11,15
AFC DWS,34,7,14,13,28,38,63,-25,16
VVV-Venlo,34,10,7,17,27,38,62,-24,17
Rapid JC,34,6,8,20,20,35,77,-42,18
