Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,20,10,4,70,88,35,53,1
PSV,34,21,7,6,70,85,43,42,2
Blauw-Wit,34,16,9,9,57,71,54,17,3
Ajax,34,16,7,11,55,80,59,21,4
NAC Breda,34,15,8,11,53,60,49,11,5
FC Volendam,34,15,4,15,49,69,76,-7,6
MVV Maastricht,34,12,12,10,48,55,46,9,7
Willem II,34,14,5,15,47,63,52,11,8
Sparta Rotterdam,34,12,9,13,45,46,50,-4,9
De Volewijckers,34,13,6,15,45,68,87,-19,10
DOS,34,10,12,12,42,61,62,-1,11
Fortuna '54,34,11,9,14,42,57,61,-4,12
SC Enschede,34,11,8,15,41,55,69,-14,13
ADO Den Haag,34,9,11,14,38,58,69,-11,14
GVAV,34,8,14,12,38,48,61,-13,15
VVV-Venlo,34,10,7,17,37,38,62,-24,16
AFC DWS,34,7,14,13,35,38,63,-25,17
Rapid JC,34,6,8,20,26,35,77,-42,18
