Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
20-08-1983,Willem II,FC Groningen,3,4,Verloren
20-08-1983,PEC Zwolle,HFC Haarlem,3,0,Gewonnen
20-08-1983,Helmond Sport,Fortuna Sittard,1,1,Gelijk
21-08-1983,FC Utrecht,Ajax,1,1,Gelijk
21-08-1983,Excelsior Rotterdam,PSV,0,3,Verloren
21-08-1983,FC Dordrecht,Go Ahead Eagles,2,2,Gelijk
21-08-1983,FC Volendam,Feyenoord,1,4,Verloren
21-08-1983,FC Den Bosch,Roda JC Kerkrade,1,1,Gelijk
21-08-1983,Sparta Rotterdam,AZ,1,1,Gelijk
24-08-1983,Go Ahead Eagles,FC Utrecht,2,0,Gewonnen
24-08-1983,PSV,Sparta Rotterdam,1,0,Gewonnen
24-08-1983,Fortuna Sittard,FC Den Bosch,5,1,Gewonnen
24-08-1983,Roda JC Kerkrade,Excelsior Rotterdam,2,0,Gewonnen
24-08-1983,Feyenoord,Helmond Sport,5,2,Gewonnen
24-08-1983,Ajax,Willem II,5,0,Gewonnen
24-08-1983,FC Groningen,PEC Zwolle,1,1,Gelijk
24-08-1983,AZ,FC Dordrecht,2,0,Gewonnen
24-08-1983,HFC Haarlem,FC Volendam,1,1,Gelijk
27-08-1983,HFC Haarlem,Helmond Sport,3,0,Gewonnen
27-08-1983,PSV,FC Dordrecht,5,0,Gewonnen
27-08-1983,Go Ahead Eagles,Willem II,4,6,Verloren
28-08-1983,Excelsior Rotterdam,FC Den Bosch,3,1,Gewonnen
28-08-1983,Ajax,PEC Zwolle,4,2,Gewonnen
28-08-1983,Roda JC Kerkrade,Sparta Rotterdam,2,2,Gelijk
28-08-1983,AZ,FC Utrecht,0,1,Verloren
28-08-1983,Feyenoord,Fortuna Sittard,5,2,Gewonnen
28-08-1983,FC Groningen,FC Volendam,4,1,Gewonnen
31-08-1983,Willem II,AZ,1,1,Gelijk
31-08-1983,PEC Zwolle,Go Ahead Eagles,1,1,Gelijk
31-08-1983,Fortuna Sittard,HFC Haarlem,2,0,Gewonnen
31-08-1983,FC Dordrecht,Roda JC Kerkrade,1,2,Verloren
31-08-1983,FC Volendam,Ajax,0,2,Verloren
31-08-1983,FC Den Bosch,Feyenoord,1,1,Gelijk
31-08-1983,FC Utrecht,PSV,2,0,Gewonnen
31-08-1983,Helmond Sport,FC Groningen,0,0,Gelijk
31-08-1983,Sparta Rotterdam,Excelsior Rotterdam,3,3,Gelijk
03-09-1983,Go Ahead Eagles,FC Volendam,4,0,Gewonnen
03-09-1983,HFC Haarlem,Feyenoord,0,1,Verloren
03-09-1983,PSV,Willem II,1,2,Verloren
04-09-1983,FC Groningen,Fortuna Sittard,3,0,Gewonnen
