Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,25,7,2,57,96,31,65,1
PSV,34,23,6,5,52,88,32,56,2
Ajax,34,22,7,5,51,100,46,54,3
HFC Haarlem,34,14,13,7,41,59,50,9,4
Sparta Rotterdam,34,12,13,9,37,77,63,14,5
AZ,34,14,9,11,37,64,50,14,6
FC Groningen,34,14,9,11,37,64,51,13,7
FC Utrecht,34,14,8,12,36,64,74,-10,8
Roda JC Kerkrade,34,13,9,12,35,55,55,0,9
FC Den Bosch,34,11,11,12,33,48,55,-7,10
Go Ahead Eagles,34,12,8,14,32,52,63,-11,11
Fortuna Sittard,34,11,9,14,31,50,55,-5,12
Excelsior Rotterdam,34,13,5,16,31,56,62,-6,13
PEC Zwolle,34,10,9,15,29,56,70,-14,14
FC Volendam,34,9,8,17,26,39,68,-29,15
Helmond Sport,34,4,8,22,16,49,92,-43,16
Willem II,34,5,6,23,16,27,74,-47,17
FC Dordrecht,34,6,3,25,15,35,88,-53,18
