Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,26,5,3,83,87,39,48,1
Ajax,34,25,4,5,79,89,33,56,2
AZ,34,22,5,7,71,72,38,34,3
Feyenoord,34,20,6,8,66,76,39,37,4
FC Utrecht,34,14,12,8,54,58,53,5,5
Vitesse,34,13,10,11,49,63,47,16,6
ADO Den Haag,34,13,8,13,47,45,53,-8,7
sc Heerenveen,34,12,10,12,46,48,53,-5,8
PEC Zwolle,34,12,8,14,44,42,54,-12,9
Heracles Almelo,34,11,9,14,42,50,64,-14,10
Excelsior Rotterdam,34,11,7,16,40,41,56,-15,11
FC Groningen,34,8,14,12,38,50,50,0,12
Willem II,34,10,7,17,37,50,63,-13,13
NAC Breda,34,9,7,18,34,41,57,-16,14
VVV-Venlo,34,7,13,14,34,35,54,-19,15
Roda JC Kerkrade,34,8,6,20,30,42,69,-27,16
Sparta Rotterdam,34,7,6,21,27,34,75,-41,17
FC Twente,34,5,9,20,24,37,63,-26,18
