Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,25,8,1,83,82,24,58,1
Ajax,34,25,5,4,80,83,24,59,2
Feyenoord,34,20,9,5,69,54,19,35,3
Vitesse,34,15,10,9,55,47,33,14,4
FC Groningen,34,14,11,9,53,44,37,7,5
FC Twente,34,13,9,12,48,53,49,4,6
Roda JC Kerkrade,34,12,11,11,47,41,45,-4,7
MVV Maastricht,34,11,13,10,46,42,44,-2,8
Sparta Rotterdam,34,11,13,10,46,50,53,-3,9
RKC Waalwijk,34,10,14,10,44,50,49,1,10
Willem II,34,11,9,14,42,44,45,-1,11
FC Utrecht,34,9,15,10,42,37,39,-2,12
FC Volendam,34,10,8,16,38,34,50,-16,13
FC Dordrecht,34,9,7,18,34,38,64,-26,14
Fortuna Sittard,34,7,11,16,32,36,50,-14,15
ADO Den Haag,34,6,10,18,28,35,63,-28,16
De Graafschap,34,6,9,19,27,29,59,-30,17
VVV-Venlo,34,3,6,25,15,32,84,-52,18
