Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,25,8,1,58,82,24,58,1
Ajax,34,25,5,4,55,83,24,59,2
Feyenoord,34,20,9,5,49,54,19,35,3
Vitesse,34,15,10,9,40,47,33,14,4
FC Groningen,34,14,11,9,39,44,37,7,5
FC Twente,34,13,9,12,35,53,49,4,6
MVV Maastricht,34,11,13,10,35,42,44,-2,7
Sparta Rotterdam,34,11,13,10,35,50,53,-3,8
Roda JC Kerkrade,34,12,11,11,35,41,45,-4,9
RKC Waalwijk,34,10,14,10,34,50,49,1,10
FC Utrecht,34,9,15,10,33,37,39,-2,11
Willem II,34,11,9,14,31,44,45,-1,12
FC Volendam,34,10,8,16,28,34,50,-16,13
Fortuna Sittard,34,7,11,16,25,36,50,-14,14
FC Dordrecht,34,9,7,18,25,38,64,-26,15
ADO Den Haag,34,6,10,18,22,35,63,-28,16
De Graafschap,34,6,9,19,21,29,59,-30,17
VVV-Venlo,34,3,6,25,12,32,84,-52,18
