Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
17-08-1991,MVV Maastricht,Fortuna Sittard,0,0,Gelijk
17-08-1991,VVV-Venlo,Roda JC Kerkrade,1,3,Verloren
18-08-1991,FC Groningen,Willem II,1,0,Gewonnen
18-08-1991,RKC Waalwijk,De Graafschap,2,1,Gewonnen
18-08-1991,FC Volendam,Sparta Rotterdam,1,1,Gelijk
18-08-1991,Feyenoord,FC Twente,1,0,Gewonnen
18-08-1991,PSV,FC Utrecht,2,1,Gewonnen
21-08-1991,ADO Den Haag,Vitesse,0,3,Verloren
21-08-1991,De Graafschap,FC Groningen,0,0,Gelijk
21-08-1991,FC Twente,MVV Maastricht,1,0,Gewonnen
21-08-1991,Willem II,VVV-Venlo,4,0,Gewonnen
21-08-1991,Ajax,FC Volendam,3,0,Gewonnen
21-08-1991,Roda JC Kerkrade,FC Dordrecht,1,0,Gewonnen
24-08-1991,FC Dordrecht,VVV-Venlo,6,1,Gewonnen
25-08-1991,RKC Waalwijk,Fortuna Sittard,2,2,Gelijk
25-08-1991,Vitesse,Ajax,0,0,Gelijk
25-08-1991,FC Twente,FC Volendam,0,1,Verloren
25-08-1991,Sparta Rotterdam,Feyenoord,0,0,Gelijk
25-08-1991,De Graafschap,ADO Den Haag,2,4,Verloren
28-08-1991,Fortuna Sittard,PSV,2,5,Verloren
28-08-1991,FC Dordrecht,ADO Den Haag,2,2,Gelijk
28-08-1991,De Graafschap,Willem II,1,2,Verloren
28-08-1991,Vitesse,Roda JC Kerkrade,0,0,Gelijk
28-08-1991,FC Utrecht,RKC Waalwijk,1,1,Gelijk
29-08-1991,MVV Maastricht,Sparta Rotterdam,1,3,Verloren
31-08-1991,Fortuna Sittard,FC Groningen,2,2,Gelijk
31-08-1991,VVV-Venlo,Vitesse,0,0,Gelijk
31-08-1991,Willem II,FC Dordrecht,2,2,Gelijk
31-08-1991,Roda JC Kerkrade,FC Volendam,1,5,Verloren
01-09-1991,FC Utrecht,De Graafschap,2,0,Gewonnen
01-09-1991,Sparta Rotterdam,PSV,1,3,Verloren
01-09-1991,Ajax,MVV Maastricht,3,0,Gewonnen
01-09-1991,FC Twente,RKC Waalwijk,1,1,Gelijk
04-09-1991,De Graafschap,Fortuna Sittard,2,0,Gewonnen
04-09-1991,FC Volendam,VVV-Venlo,1,0,Gewonnen
04-09-1991,Vitesse,FC Dordrecht,4,1,Gewonnen
04-09-1991,FC Utrecht,Willem II,1,0,Gewonnen
04-09-1991,RKC Waalwijk,Sparta Rotterdam,6,2,Gewonnen
04-09-1991,FC Groningen,FC Twente,1,2,Verloren
04-09-1991,MVV Maastricht,ADO Den Haag,1,1,Gelijk
04-09-1991,Feyenoord,Roda JC Kerkrade,1,1,Gelijk
07-09-1991,Fortuna Sittard,FC Utrecht,2,2,Gelijk
07-09-1991,FC Dordrecht,FC Volendam,3,2,Gewonnen
07-09-1991,Willem II,Vitesse,2,4,Verloren
08-09-1991,Sparta Rotterdam,FC Groningen,4,2,Gewonnen
08-09-1991,Ajax,RKC Waalwijk,5,1,Gewonnen
08-09-1991,FC Twente,De Graafschap,3,0,Gewonnen
08-09-1991,VVV-Venlo,Feyenoord,0,1,Verloren
10-09-1991,Roda JC Kerkrade,MVV Maastricht,0,2,Verloren
13-09-1991,Fortuna Sittard,Willem II,0,0,Gelijk
14-09-1991,PSV,Roda JC Kerkrade,2,1,Gewonnen
14-09-1991,FC Utrecht,FC Twente,1,1,Gelijk
14-09-1991,MVV Maastricht,VVV-Venlo,1,0,Gewonnen
14-09-1991,De Graafschap,Sparta Rotterdam,0,1,Verloren
15-09-1991,Feyenoord,FC Dordrecht,2,0,Gewonnen
15-09-1991,FC Volendam,Vitesse,0,1,Verloren
15-09-1991,RKC Waalwijk,ADO Den Haag,3,0,Gewonnen
