Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,30,0,4,60,102,18,84,1
Feyenoord,34,27,4,3,58,89,28,61,2
FC Twente,34,22,6,6,50,53,22,31,3
Sparta Rotterdam,34,21,5,8,47,85,37,48,4
ADO Den Haag,34,15,10,9,40,44,39,5,5
PSV,34,15,8,11,38,46,35,11,6
MVV Maastricht,34,14,9,11,37,49,38,11,7
FC Utrecht,34,12,8,14,32,42,55,-13,8
N.E.C.,34,10,11,13,31,40,46,-6,9
FC Amsterdam,34,11,7,16,29,44,54,-10,10
HFC Haarlem,34,10,9,15,29,43,55,-12,11
Telstar,34,12,4,18,28,39,51,-12,12
FC Groningen,34,7,13,14,27,37,61,-24,13
Go Ahead Eagles,34,8,9,17,25,31,52,-21,14
AZ,34,8,9,17,25,32,58,-26,15
NAC Breda,34,7,7,20,21,26,57,-31,16
Excelsior Rotterdam,34,5,8,21,18,24,70,-46,17
FC Den Bosch,34,5,7,22,17,23,73,-50,18
