Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
17-08-1985,AZ,FC Den Bosch,1,4,Verloren
17-08-1985,MVV Maastricht,Fortuna Sittard,1,1,Gelijk
17-08-1985,Heracles Almelo,Go Ahead Eagles,1,0,Gewonnen
17-08-1985,Roda JC Kerkrade,N.E.C.,6,1,Gewonnen
17-08-1985,PSV,HFC Haarlem,1,0,Gewonnen
18-08-1985,Excelsior Rotterdam,Ajax,2,3,Verloren
18-08-1985,VVV-Venlo,Feyenoord,0,1,Verloren
18-08-1985,FC Groningen,FC Utrecht,0,0,Gelijk
21-08-1985,Fortuna Sittard,AZ,1,1,Gelijk
21-08-1985,FC Twente,Excelsior Rotterdam,1,1,Gelijk
21-08-1985,HFC Haarlem,FC Groningen,0,3,Verloren
21-08-1985,Go Ahead Eagles,Roda JC Kerkrade,3,1,Gewonnen
21-08-1985,FC Den Bosch,PSV,2,0,Gewonnen
21-08-1985,FC Utrecht,VVV-Venlo,2,0,Gewonnen
21-08-1985,Feyenoord,Heracles Almelo,5,1,Gewonnen
21-08-1985,N.E.C.,Sparta Rotterdam,1,0,Gewonnen
24-08-1985,MVV Maastricht,FC Twente,0,0,Gelijk
24-08-1985,Heracles Almelo,FC Utrecht,2,3,Verloren
24-08-1985,Roda JC Kerkrade,Feyenoord,2,0,Gewonnen
24-08-1985,PSV,Fortuna Sittard,2,1,Gewonnen
24-08-1985,Go Ahead Eagles,N.E.C.,3,1,Gewonnen
24-08-1985,VVV-Venlo,HFC Haarlem,1,1,Gelijk
25-08-1985,Excelsior Rotterdam,Sparta Rotterdam,1,3,Verloren
25-08-1985,FC Groningen,FC Den Bosch,1,0,Gewonnen
25-08-1985,AZ,Ajax,1,2,Verloren
28-08-1985,FC Utrecht,Roda JC Kerkrade,2,0,Gewonnen
28-08-1985,Sparta Rotterdam,MVV Maastricht,1,0,Gewonnen
28-08-1985,Feyenoord,Go Ahead Eagles,5,0,Gewonnen
