Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,27,6,1,60,100,22,78
Ajax,34,25,2,7,52,120,35,85
Feyenoord,34,19,6,9,44,74,50,24
FC Groningen,34,17,6,11,40,57,40,17
Roda JC Kerkrade,34,16,7,11,39,76,51,25
FC Den Bosch,34,13,11,10,37,50,41,9
Sparta Rotterdam,34,13,11,10,37,54,59,-5
Fortuna Sittard,34,11,12,11,34,47,47,0
AZ,34,11,12,11,34,40,55,-15
Go Ahead Eagles,34,13,7,14,33,47,62,-15
HFC Haarlem,34,10,12,12,32,48,47,1
FC Utrecht,34,11,10,13,32,40,46,-6
VVV-Venlo,34,11,5,18,27,39,62,-23
FC Twente,34,8,11,15,27,36,69,-33
Excelsior Rotterdam,34,9,7,18,25,31,48,-17
MVV Maastricht,34,8,8,18,24,34,60,-26
N.E.C.,34,9,5,20,23,33,59,-26
Heracles Almelo,34,3,6,25,12,26,99,-73
