Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,27,6,1,87,100,22,78,1
Ajax,34,25,2,7,77,120,35,85,2
Feyenoord,34,19,6,9,63,74,50,24,3
FC Groningen,34,17,6,11,57,57,40,17,4
Roda JC Kerkrade,34,16,7,11,55,76,51,25,5
FC Den Bosch,34,13,11,10,50,50,41,9,6
Sparta Rotterdam,34,13,11,10,50,54,59,-5,7
Go Ahead Eagles,34,13,7,14,46,47,62,-15,8
Fortuna Sittard,34,11,12,11,45,47,47,0,9
AZ,34,11,12,11,45,40,55,-15,10
FC Utrecht,34,11,10,13,43,40,46,-6,11
HFC Haarlem,34,10,12,12,42,48,47,1,12
VVV-Venlo,34,11,5,18,38,39,62,-23,13
FC Twente,34,8,11,15,35,36,69,-33,14
Excelsior Rotterdam,34,9,7,18,34,31,48,-17,15
MVV Maastricht,34,8,8,18,32,34,60,-26,16
N.E.C.,34,9,5,20,32,33,59,-26,17
Heracles Almelo,34,3,6,25,15,26,99,-73,18
