Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
12-08-1999,Sparta Rotterdam,Willem II,0,2,Verloren
13-08-1999,FC Den Bosch,Feyenoord,0,4,Verloren
14-08-1999,PSV,MVV Maastricht,4,1,Gewonnen
14-08-1999,De Graafschap,Roda JC Kerkrade,0,0,Gelijk
14-08-1999,SC Cambuur,Vitesse,1,1,Gelijk
14-08-1999,Fortuna Sittard,AZ,1,2,Verloren
15-08-1999,FC Utrecht,N.E.C.,1,0,Gewonnen
15-08-1999,RKC Waalwijk,FC Twente,1,1,Gelijk
15-08-1999,Ajax,sc Heerenveen,3,2,Gewonnen
20-08-1999,MVV Maastricht,Ajax,2,6,Verloren
21-08-1999,sc Heerenveen,Sparta Rotterdam,3,1,Gewonnen
21-08-1999,Willem II,Fortuna Sittard,2,2,Gelijk
21-08-1999,FC Den Bosch,De Graafschap,1,1,Gelijk
21-08-1999,Roda JC Kerkrade,RKC Waalwijk,1,2,Verloren
21-08-1999,FC Twente,N.E.C.,4,2,Gewonnen
22-08-1999,Feyenoord,SC Cambuur,4,0,Gewonnen
22-08-1999,Vitesse,PSV,1,6,Verloren
27-08-1999,SC Cambuur,Ajax,0,3,Verloren
28-08-1999,Willem II,FC Den Bosch,2,1,Gewonnen
28-08-1999,PSV,Fortuna Sittard,2,1,Gewonnen
28-08-1999,Roda JC Kerkrade,N.E.C.,4,3,Gewonnen
28-08-1999,Vitesse,MVV Maastricht,6,2,Gewonnen
29-08-1999,FC Utrecht,FC Twente,1,0,Gewonnen
29-08-1999,RKC Waalwijk,AZ,1,2,Verloren
29-08-1999,Feyenoord,sc Heerenveen,3,1,Gewonnen
10-09-1999,AZ,Roda JC Kerkrade,1,2,Verloren
10-09-1999,Ajax,Feyenoord,2,2,Gelijk
11-09-1999,MVV Maastricht,SC Cambuur,1,1,Gelijk
11-09-1999,Fortuna Sittard,RKC Waalwijk,0,2,Verloren
11-09-1999,FC Twente,Vitesse,0,0,Gelijk
11-09-1999,sc Heerenveen,Willem II,2,4,Verloren
12-09-1999,Sparta Rotterdam,FC Utrecht,3,0,Gewonnen
12-09-1999,De Graafschap,PSV,1,2,Verloren
15-09-1999,AZ,FC Utrecht,0,1,Verloren
15-09-1999,Sparta Rotterdam,De Graafschap,2,1,Gewonnen
17-09-1999,SC Cambuur,FC Twente,1,3,Verloren
18-09-1999,Willem II,AZ,3,1,Gewonnen
18-09-1999,FC Den Bosch,MVV Maastricht,1,1,Gelijk
18-09-1999,Feyenoord,Fortuna Sittard,1,0,Gewonnen
19-09-1999,Vitesse,Sparta Rotterdam,2,1,Gewonnen
19-09-1999,Roda JC Kerkrade,sc Heerenveen,0,2,Verloren
19-09-1999,FC Utrecht,De Graafschap,2,1,Gewonnen
19-09-1999,RKC Waalwijk,Ajax,1,1,Gelijk
24-09-1999,Ajax,Vitesse,3,1,Gewonnen
25-09-1999,sc Heerenveen,FC Twente,0,0,Gelijk
25-09-1999,Roda JC Kerkrade,Fortuna Sittard,3,0,Gewonnen
25-09-1999,PSV,Willem II,6,1,Gewonnen
26-09-1999,De Graafschap,N.E.C.,2,2,Gelijk
26-09-1999,Sparta Rotterdam,MVV Maastricht,3,0,Gewonnen
26-09-1999,FC Den Bosch,FC Utrecht,3,2,Gewonnen
26-09-1999,SC Cambuur,AZ,2,4,Verloren
26-09-1999,Feyenoord,RKC Waalwijk,1,2,Verloren
29-09-1999,N.E.C.,FC Den Bosch,2,0,Gewonnen
01-10-1999,MVV Maastricht,sc Heerenveen,1,3,Verloren
02-10-1999,FC Twente,FC Den Bosch,3,2,Gewonnen
02-10-1999,Fortuna Sittard,SC Cambuur,4,1,Gewonnen
02-10-1999,PSV,Sparta Rotterdam,7,0,Gewonnen
02-10-1999,RKC Waalwijk,De Graafschap,2,1,Gewonnen
03-10-1999,AZ,Feyenoord,0,0,Gelijk
03-10-1999,FC Utrecht,Roda JC Kerkrade,1,2,Verloren
03-10-1999,Vitesse,N.E.C.,5,1,Gewonnen
03-10-1999,Willem II,Ajax,3,6,Verloren
10-10-1999,De Graafschap,MVV Maastricht,2,1,Gewonnen
11-10-1999,Sparta Rotterdam,Roda JC Kerkrade,1,2,Verloren
12-10-1999,Feyenoord,Vitesse,0,0,Gelijk
12-10-1999,SC Cambuur,Willem II,0,1,Verloren
13-10-1999,RKC Waalwijk,PSV,1,6,Verloren
13-10-1999,N.E.C.,FC Twente,0,1,Verloren
13-10-1999,sc Heerenveen,FC Utrecht,1,0,Gewonnen
13-10-1999,FC Den Bosch,AZ,2,3,Verloren
13-10-1999,Ajax,Fortuna Sittard,4,1,Gewonnen
15-10-1999,Roda JC Kerkrade,Feyenoord,2,1,Gewonnen
16-10-1999,Willem II,RKC Waalwijk,2,1,Gewonnen
16-10-1999,Fortuna Sittard,sc Heerenveen,0,1,Verloren
16-10-1999,MVV Maastricht,FC Utrecht,4,1,Gewonnen
16-10-1999,Vitesse,SC Cambuur,1,0,Gewonnen
17-10-1999,PSV,FC Den Bosch,7,0,Gewonnen
17-10-1999,Sparta Rotterdam,AZ,3,6,Verloren
17-10-1999,De Graafschap,FC Twente,0,0,Gelijk
17-10-1999,N.E.C.,Ajax,1,3,Verloren
22-10-1999,AZ,sc Heerenveen,0,1,Verloren
23-10-1999,SC Cambuur,De Graafschap,1,0,Gewonnen
23-10-1999,PSV,FC Twente,2,2,Gelijk
23-10-1999,Willem II,MVV Maastricht,1,0,Gewonnen
23-10-1999,Fortuna Sittard,Sparta Rotterdam,3,2,Gewonnen
24-10-1999,Roda JC Kerkrade,Vitesse,0,1,Verloren
24-10-1999,Feyenoord,N.E.C.,2,1,Gewonnen
24-10-1999,FC Utrecht,RKC Waalwijk,4,1,Gewonnen
24-10-1999,Ajax,FC Den Bosch,6,1,Gewonnen
27-10-1999,FC Twente,Sparta Rotterdam,3,2,Gewonnen
27-10-1999,sc Heerenveen,De Graafschap,2,0,Gewonnen
27-10-1999,RKC Waalwijk,N.E.C.,4,2,Gewonnen
29-10-1999,Ajax,Roda JC Kerkrade,1,2,Verloren
30-10-1999,FC Den Bosch,SC Cambuur,1,1,Gelijk
31-10-1999,Vitesse,FC Utrecht,3,1,Gewonnen
31-10-1999,MVV Maastricht,Fortuna Sittard,1,0,Gewonnen
31-10-1999,AZ,PSV,0,3,Verloren
03-11-1999,N.E.C.,sc Heerenveen,0,4,Verloren
05-11-1999,FC Utrecht,Fortuna Sittard,2,1,Gewonnen
06-11-1999,MVV Maastricht,AZ,3,4,Verloren
06-11-1999,De Graafschap,Willem II,0,2,Verloren
07-11-1999,Roda JC Kerkrade,FC Den Bosch,3,0,Gewonnen
07-11-1999,RKC Waalwijk,SC Cambuur,3,2,Gewonnen
07-11-1999,N.E.C.,PSV,2,1,Gewonnen
07-11-1999,Sparta Rotterdam,Ajax,1,2,Verloren
07-11-1999,FC Twente,Feyenoord,3,3,Gelijk
19-11-1999,N.E.C.,Sparta Rotterdam,0,1,Verloren
19-11-1999,MVV Maastricht,Feyenoord,3,3,Gelijk
19-11-1999,AZ,FC Twente,2,1,Gewonnen
20-11-1999,Fortuna Sittard,De Graafschap,1,1,Gelijk
20-11-1999,Willem II,Roda JC Kerkrade,2,2,Gelijk
20-11-1999,FC Den Bosch,RKC Waalwijk,0,3,Verloren
20-11-1999,sc Heerenveen,Vitesse,1,3,Verloren
21-11-1999,Ajax,FC Utrecht,2,0,Gewonnen
21-11-1999,SC Cambuur,PSV,0,1,Verloren
26-11-1999,sc Heerenveen,SC Cambuur,4,1,Gewonnen
27-11-1999,FC Twente,Willem II,4,0,Gewonnen
27-11-1999,Fortuna Sittard,N.E.C.,2,2,Gelijk
28-11-1999,Feyenoord,PSV,1,0,Gewonnen
28-11-1999,AZ,Ajax,1,2,Verloren
28-11-1999,De Graafschap,Vitesse,2,2,Gelijk
28-11-1999,RKC Waalwijk,Sparta Rotterdam,2,1,Gewonnen
28-11-1999,FC Utrecht,FC Den Bosch,2,1,Gewonnen
30-11-1999,Roda JC Kerkrade,MVV Maastricht,3,1,Gewonnen
01-12-1999,FC Twente,Fortuna Sittard,1,0,Gewonnen
01-12-1999,De Graafschap,AZ,2,5,Verloren
01-12-1999,FC Den Bosch,sc Heerenveen,0,2,Verloren
01-12-1999,Feyenoord,Willem II,1,0,Gewonnen
01-12-1999,SC Cambuur,FC Utrecht,4,3,Gewonnen
01-12-1999,Vitesse,RKC Waalwijk,2,1,Gewonnen
04-12-1999,PSV,Roda JC Kerkrade,2,0,Gewonnen
04-12-1999,Fortuna Sittard,FC Den Bosch,1,1,Gelijk
04-12-1999,MVV Maastricht,FC Twente,0,2,Verloren
04-12-1999,Vitesse,AZ,0,2,Verloren
04-12-1999,Sparta Rotterdam,Feyenoord,1,3,Verloren
05-12-1999,Willem II,FC Utrecht,4,3,Gewonnen
05-12-1999,Ajax,RKC Waalwijk,1,2,Verloren
05-12-1999,N.E.C.,SC Cambuur,1,0,Gewonnen
10-12-1999,AZ,Fortuna Sittard,2,0,Gewonnen
11-12-1999,Roda JC Kerkrade,De Graafschap,2,3,Verloren
12-12-1999,FC Utrecht,PSV,1,1,Gelijk
12-12-1999,RKC Waalwijk,MVV Maastricht,0,4,Verloren
12-12-1999,FC Den Bosch,Vitesse,2,1,Gewonnen
15-12-1999,Sparta Rotterdam,FC Den Bosch,3,2,Gewonnen
15-12-1999,sc Heerenveen,RKC Waalwijk,4,1,Gewonnen
15-12-1999,N.E.C.,MVV Maastricht,1,0,Gewonnen
15-12-1999,Vitesse,Willem II,3,1,Gewonnen
