Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,29,2,3,89,112,22,90
PSV,34,21,9,4,72,95,44,51
Vitesse,34,21,7,6,70,85,48,37
Feyenoord,34,18,7,9,61,62,40,22
Willem II,34,17,4,13,55,66,58,8
sc Heerenveen,34,16,7,11,55,56,59,-3
Fortuna Sittard,34,14,6,14,48,51,53,-2
N.E.C.,34,14,2,18,44,40,57,-17
FC Twente,34,11,10,13,43,41,42,-1
FC Utrecht,34,13,4,17,43,56,64,-8
De Graafschap,34,11,9,14,42,45,49,-4
NAC Breda,34,12,6,16,42,41,49,-8
Sparta Rotterdam,34,10,11,13,41,50,59,-9
Roda JC Kerkrade,34,10,8,16,38,44,45,-1
MVV Maastricht,34,9,5,20,32,35,75,-40
FC Groningen,34,7,10,17,31,42,65,-23
RKC Waalwijk,34,8,7,19,31,48,71,-23
FC Volendam,34,5,6,23,21,33,102,-69
