Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,29,2,3,89,112,22,90,1
PSV,34,21,9,4,72,95,44,51,2
Vitesse,34,21,7,6,70,85,48,37,3
Feyenoord,34,18,7,9,61,62,40,22,4
Willem II,34,17,4,13,55,66,58,8,5
sc Heerenveen,34,16,7,11,55,56,59,-3,6
Fortuna Sittard,34,14,6,14,48,51,53,-2,7
N.E.C.,34,14,2,18,44,40,57,-17,8
FC Twente,34,11,10,13,43,41,42,-1,9
FC Utrecht,34,13,4,17,43,56,64,-8,10
De Graafschap,34,11,9,14,42,45,49,-4,11
NAC Breda,34,12,6,16,42,41,49,-8,12
Sparta Rotterdam,34,10,11,13,41,50,59,-9,13
Roda JC Kerkrade,34,10,8,16,38,44,45,-1,14
MVV Maastricht,34,9,5,20,32,35,75,-40,15
FC Groningen,34,7,10,17,31,42,65,-23,16
RKC Waalwijk,34,8,7,19,31,48,71,-23,17
FC Volendam,34,5,6,23,21,33,102,-69,18
