Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
19-08-1997,FC Twente,Fortuna Sittard,4,1,Gewonnen
19-08-1997,Ajax,Vitesse,5,0,Gewonnen
20-08-1997,sc Heerenveen,NAC,3,1,Gewonnen
20-08-1997,Roda JC,FC Utrecht,1,0,Gewonnen
20-08-1997,Sparta,De Graafschap,1,1,Gelijk
20-08-1997,Willem II,NEC,1,2,Verloren
20-08-1997,FC Groningen,FC Volendam,3,0,Gewonnen
20-08-1997,PSV,RKC Waalwijk,5,1,Gewonnen
21-08-1997,MVV,Feyenoord,0,3,Verloren
22-08-1997,Fortuna Sittard,Ajax,0,5,Verloren
23-08-1997,NEC,sc Heerenveen,0,1,Verloren
23-08-1997,De Graafschap,Willem II,3,1,Gewonnen
24-08-1997,Feyenoord,Sparta,3,1,Gewonnen
24-08-1997,RKC Waalwijk,FC Groningen,1,1,Gelijk
24-08-1997,FC Utrecht,MVV,6,1,Gewonnen
24-08-1997,FC Volendam,FC Twente,0,0,Gelijk
24-08-1997,NAC,PSV,3,3,Gelijk
24-08-1997,Vitesse,Roda JC,3,1,Gewonnen
30-08-1997,PSV,Willem II,3,0,Gewonnen
30-08-1997,Roda JC,FC Groningen,4,1,Gewonnen
30-08-1997,Fortuna Sittard,RKC Waalwijk,0,3,Verloren
30-08-1997,sc Heerenveen,MVV,3,1,Gewonnen
30-08-1997,NAC,NEC,0,1,Verloren
31-08-1997,FC Utrecht,Ajax,1,7,Verloren
31-08-1997,FC Twente,Sparta,2,1,Gewonnen
31-08-1997,Feyenoord,De Graafschap,2,0,Gewonnen
02-09-1997,FC Volendam,Vitesse,1,1,Gelijk
08-09-1997,MVV,NAC,0,1,Verloren
09-09-1997,Roda JC,FC Volendam,0,2,Verloren
09-09-1997,FC Groningen,NEC,4,0,Gewonnen
09-09-1997,Ajax,RKC Waalwijk,3,0,Gewonnen
10-09-1997,FC Utrecht,FC Twente,1,1,Gelijk
10-09-1997,Sparta,Fortuna Sittard,1,1,Gelijk
10-09-1997,Vitesse,Willem II,3,1,Gewonnen
10-09-1997,PSV,De Graafschap,0,0,Gelijk
11-09-1997,sc Heerenveen,Feyenoord,0,0,Gelijk
12-09-1997,MVV,Roda JC,1,2,Verloren
12-09-1997,Ajax,FC Groningen,4,1,Gewonnen
13-09-1997,Vitesse,FC Utrecht,5,0,Gewonnen
13-09-1997,Sparta,FC Volendam,5,0,Gewonnen
13-09-1997,Willem II,Fortuna Sittard,0,0,Gelijk
13-09-1997,NEC,FC Twente,1,2,Verloren
14-09-1997,De Graafschap,NAC,0,1,Verloren
14-09-1997,Feyenoord,PSV,1,1,Gelijk
14-09-1997,RKC Waalwijk,sc Heerenveen,1,1,Gelijk
19-09-1997,Fortuna Sittard,De Graafschap,1,0,Gewonnen
20-09-1997,PSV,Sparta,4,2,Gewonnen
20-09-1997,Willem II,FC Volendam,5,2,Gewonnen
21-09-1997,FC Twente,MVV,1,0,Gewonnen
21-09-1997,FC Groningen,Vitesse,1,1,Gelijk
21-09-1997,Roda JC,sc Heerenveen,0,2,Verloren
21-09-1997,RKC Waalwijk,FC Utrecht,3,1,Gewonnen
21-09-1997,NEC,Ajax,1,4,Verloren
23-09-1997,PSV,Fortuna Sittard,3,2,Gewonnen
24-09-1997,NAC,FC Groningen,0,0,Gelijk
24-09-1997,FC Volendam,De Graafschap,0,5,Verloren
24-09-1997,Roda JC,NEC,4,0,Gewonnen
24-09-1997,sc Heerenveen,FC Twente,2,1,Gewonnen
24-09-1997,Feyenoord,Vitesse,5,1,Gewonnen
24-09-1997,Willem II,RKC Waalwijk,3,2,Gewonnen
24-09-1997,Ajax,MVV,7,0,Gewonnen
25-09-1997,Sparta,FC Utrecht,4,2,Gewonnen
27-09-1997,FC Twente,NAC,1,1,Gelijk
27-09-1997,De Graafschap,RKC Waalwijk,1,0,Gewonnen
27-09-1997,sc Heerenveen,Ajax,0,1,Verloren
27-09-1997,MVV,NEC,2,0,Gewonnen
27-09-1997,Fortuna Sittard,Vitesse,1,7,Verloren
28-09-1997,FC Utrecht,Willem II,2,2,Gelijk
28-09-1997,Sparta,Roda JC,3,1,Gewonnen
28-09-1997,FC Groningen,Feyenoord,2,0,Gewonnen
28-09-1997,FC Volendam,PSV,0,6,Verloren
03-10-1997,MVV,Sparta,2,2,Gelijk
04-10-1997,NEC,FC Volendam,4,1,Gewonnen
04-10-1997,PSV,sc Heerenveen,3,1,Gewonnen
05-10-1997,FC Twente,FC Groningen,2,0,Gewonnen
05-10-1997,Vitesse,RKC Waalwijk,3,2,Gewonnen
05-10-1997,De Graafschap,FC Utrecht,0,1,Verloren
05-10-1997,Feyenoord,NAC,2,1,Gewonnen
05-10-1997,Willem II,Ajax,0,1,Verloren
14-10-1997,FC Groningen,Willem II,2,2,Gelijk
14-10-1997,FC Volendam,Fortuna Sittard,0,3,Verloren
14-10-1997,Feyenoord,MVV,2,1,Gewonnen
15-10-1997,FC Utrecht,sc Heerenveen,2,4,Verloren
15-10-1997,De Graafschap,Sparta,2,2,Gelijk
15-10-1997,RKC Waalwijk,NEC,0,0,Gelijk
15-10-1997,Roda JC,PSV,2,2,Gelijk
15-10-1997,Ajax,NAC,1,0,Gewonnen
17-10-1997,Fortuna Sittard,FC Groningen,4,1,Gewonnen
18-10-1997,sc Heerenveen,Sparta,1,1,Gelijk
18-10-1997,FC Twente,De Graafschap,1,1,Gelijk
18-10-1997,NAC,RKC Waalwijk,4,0,Gewonnen
18-10-1997,Roda JC,Vitesse,1,1,Gelijk
19-10-1997,Willem II,Feyenoord,2,0,Gewonnen
19-10-1997,NEC,PSV,0,4,Verloren
24-10-1997,De Graafschap,sc Heerenveen,1,2,Verloren
25-10-1997,PSV,MVV,5,0,Gewonnen
26-10-1997,RKC Waalwijk,FC Volendam,1,1,Gelijk
26-10-1997,Sparta,FC Groningen,1,1,Gelijk
26-10-1997,FC Twente,Roda JC,1,2,Verloren
26-10-1997,FC Utrecht,NEC,2,4,Verloren
26-10-1997,Vitesse,Fortuna Sittard,1,0,Gewonnen
26-10-1997,Ajax,Feyenoord,4,0,Gewonnen
29-10-1997,NEC,De Graafschap,0,4,Verloren
29-10-1997,Feyenoord,Fortuna Sittard,1,3,Verloren
30-10-1997,Roda JC,Ajax,1,1,Gelijk
31-10-1997,MVV,Willem II,1,0,Gewonnen
31-10-1997,sc Heerenveen,PSV,1,1,Gelijk
01-11-1997,NAC,De Graafschap,2,0,Gewonnen
01-11-1997,Fortuna Sittard,NEC,0,2,Verloren
01-11-1997,FC Twente,Vitesse,1,1,Gelijk
02-11-1997,FC Volendam,FC Utrecht,0,1,Verloren
02-11-1997,Feyenoord,RKC Waalwijk,2,1,Gewonnen
05-11-1997,MVV,FC Volendam,4,1,Gewonnen
08-11-1997,Vitesse,sc Heerenveen,4,2,Gewonnen
09-11-1997,FC Volendam,Feyenoord,0,0,Gelijk
09-11-1997,RKC Waalwijk,Roda JC,3,3,Gelijk
09-11-1997,Sparta,Ajax,0,5,Verloren
09-11-1997,FC Utrecht,FC Groningen,2,0,Gewonnen
