Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,26,4,4,56,117,42,75,1
PSV,34,24,3,7,51,81,38,43,2
AZ,34,21,5,8,47,74,40,34,3
HFC Haarlem,34,17,8,9,42,57,41,16,4
FC Utrecht,34,17,5,12,39,56,38,18,5
Feyenoord,34,13,12,9,38,61,59,2,6
FC Groningen,34,14,9,11,37,68,58,10,7
Sparta Rotterdam,34,13,10,11,36,61,48,13,8
Roda JC Kerkrade,34,15,6,13,36,60,53,7,9
Go Ahead Eagles,34,13,9,12,35,58,49,9,10
NAC Breda,34,12,9,13,33,42,48,-6,11
FC Twente,34,13,5,16,31,50,58,-8,12
N.E.C.,34,11,8,15,30,41,62,-21,13
Willem II,34,10,7,17,27,50,64,-14,14
PEC Zwolle,34,8,10,16,26,45,69,-24,15
MVV Maastricht,34,6,11,17,23,35,70,-35,16
ADO Den Haag,34,4,5,25,13,29,82,-53,17
De Graafschap,34,3,6,25,12,29,95,-66,18
