Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,28,2,4,86,119,32,87
PSV,34,26,5,3,83,98,26,72
Feyenoord,34,20,5,9,65,75,41,34
AZ,34,17,7,10,58,64,43,21
Vitesse,34,14,11,9,53,70,51,19
FC Utrecht,34,15,8,11,53,60,51,9
Heracles Almelo,34,15,3,16,48,61,68,-7
FC Groningen,34,13,6,15,45,39,41,-2
ADO Den Haag,34,12,9,13,45,58,63,-5
Willem II,34,13,5,16,44,58,72,-14
sc Heerenveen,34,10,11,13,41,64,73,-9
VVV-Venlo,34,11,8,15,41,47,63,-16
PEC Zwolle,34,11,6,17,39,44,57,-13
FC Emmen,34,10,8,16,38,41,72,-31
Fortuna Sittard,34,9,7,18,34,50,80,-30
Excelsior Rotterdam,34,9,6,19,33,46,79,-33
De Graafschap,34,8,5,21,29,38,75,-37
NAC Breda,34,5,8,21,23,29,74,-45
