Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,34,24,5,5,53,100,40,60
Ajax,34,22,7,5,51,102,51,51
VVV-Venlo,34,18,6,10,42,77,47,30
Sparta Rotterdam,34,16,9,9,41,71,54,17
DOS,34,15,9,10,39,71,49,22
GVAV,34,15,8,11,38,57,51,6
PSV,34,14,9,11,37,74,59,15
AFC DWS,34,11,13,10,35,59,49,10
NAC Breda,34,15,4,15,34,59,64,-5
Willem II,34,13,6,15,32,53,71,-18
ADO Den Haag,34,15,2,17,32,59,78,-19
SC Enschede,34,12,6,16,30,52,63,-11
Rapid JC,34,11,7,16,29,42,54,-12
MVV Maastricht,34,10,8,16,28,45,70,-25
Fortuna '54,34,8,10,16,26,52,69,-17
USV Elinkwijk,34,11,3,20,25,43,72,-29
Alkmaar '54,34,6,12,16,24,39,61,-22
NOAD,34,4,8,22,16,28,81,-53
