Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,34,24,5,5,77,100,40,60
Ajax,34,22,7,5,73,102,51,51
VVV-Venlo,34,18,6,10,60,77,47,30
Sparta Rotterdam,34,16,9,9,57,71,54,17
DOS,34,15,9,10,54,71,49,22
GVAV,34,15,8,11,53,57,51,6
PSV,34,14,9,11,51,74,59,15
NAC Breda,34,15,4,15,49,59,64,-5
ADO Den Haag,34,15,2,17,47,59,78,-19
AFC DWS,34,11,13,10,46,59,49,10
Willem II,34,13,6,15,45,53,71,-18
SC Enschede,34,12,6,16,42,52,63,-11
Rapid JC,34,11,7,16,40,42,54,-12
MVV Maastricht,34,10,8,16,38,45,70,-25
USV Elinkwijk,34,11,3,20,36,43,72,-29
Fortuna '54,34,8,10,16,34,52,69,-17
Alkmaar '54,34,6,12,16,30,39,61,-22
NOAD,34,4,8,22,20,28,81,-53
