Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
DOS,34,19,9,6,47,84,52,32,1
SC Enschede,34,19,9,6,47,75,48,27,2
Ajax,34,17,8,9,42,62,44,18,3
Fortuna '54,34,16,8,10,40,72,53,19,4
MVV Maastricht,34,15,7,12,37,57,50,7,5
ADO Den Haag,34,14,7,13,35,68,56,12,6
VVV-Venlo,34,14,7,13,35,61,59,2,7
NAC Breda,34,15,5,14,35,69,70,-1,8
Sparta Rotterdam,34,11,12,11,34,63,62,1,9
PSV,34,13,6,15,32,73,70,3,10
Feyenoord,34,13,6,15,32,74,76,-2,11
Rapid JC,34,13,5,16,31,56,67,-11,12
Blauw-Wit,34,11,8,15,30,56,59,-3,13
BVC Amsterdam,34,9,12,13,30,54,63,-9,14
NOAD,34,11,7,16,29,50,76,-26,15
GVAV,34,10,8,16,28,58,63,-5,16
USV Elinkwijk,34,10,8,16,28,47,71,-24,17
BVV,34,7,6,21,20,56,96,-40,18
