Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
DOS,34,19,9,6,66,84,52,32,1
SC Enschede,34,19,9,6,66,75,48,27,2
Ajax,34,17,8,9,59,62,44,18,3
Fortuna '54,34,16,8,10,56,72,53,19,4
MVV Maastricht,34,15,7,12,52,57,50,7,5
NAC Breda,34,15,5,14,50,69,70,-1,6
ADO Den Haag,34,14,7,13,49,68,56,12,7
VVV-Venlo,34,14,7,13,49,61,59,2,8
PSV,34,13,6,15,45,73,70,3,9
Sparta Rotterdam,34,11,12,11,45,63,62,1,10
Feyenoord,34,13,6,15,45,74,76,-2,11
Rapid JC,34,13,5,16,44,56,67,-11,12
Blauw-Wit,34,11,8,15,41,56,59,-3,13
NOAD,34,11,7,16,40,50,76,-26,14
BVC Amsterdam,34,9,12,13,39,54,63,-9,15
GVAV,34,10,8,16,38,58,63,-5,16
USV Elinkwijk,34,10,8,16,38,47,71,-24,17
BVV,34,7,6,21,27,56,96,-40,18
