Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,25,5,4,80,79,31,48,1
PSV,34,23,5,6,74,92,30,62,2
Feyenoord,34,20,8,6,68,71,38,33,3
sc Heerenveen,34,17,7,10,58,45,35,10,4
AZ,34,17,6,11,57,65,42,23,5
Roda JC Kerkrade,34,14,11,9,53,60,41,19,6
Willem II,34,13,10,11,49,47,54,-7,7
FC Twente,34,15,3,16,48,56,53,3,8
NAC Breda,34,12,10,12,46,58,55,3,9
FC Utrecht,34,13,7,14,46,42,52,-10,10
RKC Waalwijk,34,10,10,14,40,47,55,-8,11
RBC Roosendaal,34,10,10,14,40,34,47,-13,12
FC Groningen,34,9,10,15,37,38,53,-15,13
N.E.C.,34,10,4,20,34,44,62,-18,14
ADO Den Haag,34,9,7,18,34,36,61,-25,15
Vitesse,34,4,16,14,28,39,56,-17,16
FC Volendam,34,7,6,21,27,31,79,-48,17
PEC Zwolle,34,5,11,18,26,27,67,-40,18
