Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,30,17,8,5,42,67,38,29,1
Ajax,30,17,5,8,39,73,41,32,2
Sparta Rotterdam,30,17,5,8,39,60,38,22,3
Feyenoord,30,14,9,7,37,58,40,18,4
SC Enschede,30,12,9,9,33,58,46,12,5
NAC Breda,30,11,10,9,32,51,48,3,6
DOS,30,13,6,11,32,37,44,-7,7
GVAV,30,12,6,12,30,52,47,5,8
MVV Maastricht,30,11,7,12,29,45,49,-4,9
ADO Den Haag,30,9,10,11,28,41,36,5,10
Blauw-Wit,30,12,4,14,28,48,56,-8,11
Fortuna '54,30,12,4,14,28,44,54,-10,12
FC Volendam,30,8,11,11,27,50,53,-3,13
Heracles Almelo,30,9,8,13,26,54,62,-8,14
Willem II,30,7,8,15,22,53,68,-15,15
De Volewijckers,30,2,4,24,8,31,102,-71,16
