Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
26-08-1962,Ajax,AVC Heracles,1,0,Gewonnen
26-08-1962,Sparta,Blauw-Wit,4,1,Gewonnen
26-08-1962,ADO,PSV,1,3,Verloren
26-08-1962,SC Enschede,Feijenoord,1,2,Verloren
26-08-1962,NAC,Willem II,2,2,Gelijk
26-08-1962,RKSV Volendam,Fortuna '54,1,1,Gelijk
26-08-1962,MVV,De Volewijckers,3,1,Gewonnen
26-08-1962,GVAV,DOS,3,1,Gewonnen
02-09-1962,De Volewijckers,Sparta,2,2,Gelijk
02-09-1962,Blauw-Wit,SC Enschede,1,7,Verloren
02-09-1962,DOS,MVV,1,0,Gewonnen
02-09-1962,Feijenoord,Ajax,1,1,Gelijk
02-09-1962,AVC Heracles,RKSV Volendam,1,1,Gelijk
02-09-1962,Fortuna '54,ADO,1,0,Gewonnen
02-09-1962,Willem II,GVAV,3,0,Gewonnen
02-09-1962,PSV,NAC,1,2,Verloren
09-09-1962,Blauw-Wit,Feijenoord,1,0,Gewonnen
09-09-1962,Sparta,DOS,5,1,Gewonnen
09-09-1962,ADO,AVC Heracles,1,0,Gewonnen
09-09-1962,MVV,Willem II,4,1,Gewonnen
09-09-1962,NAC,Fortuna '54,0,2,Verloren
09-09-1962,RKSV Volendam,Ajax,4,5,Verloren
09-09-1962,SC Enschede,De Volewijckers,4,0,Gewonnen
09-09-1962,GVAV,PSV,1,1,Gelijk
16-09-1962,Feijenoord,RKSV Volendam,2,5,Verloren
16-09-1962,De Volewijckers,Blauw-Wit,2,1,Gewonnen
16-09-1962,Ajax,ADO,1,0,Gewonnen
16-09-1962,DOS,SC Enschede,2,1,Gewonnen
16-09-1962,PSV,MVV,2,0,Gewonnen
16-09-1962,Fortuna '54,GVAV,2,1,Gewonnen
16-09-1962,Willem II,Sparta,1,1,Gelijk
16-09-1962,AVC Heracles,NAC,3,2,Gewonnen
23-09-1962,Sparta,PSV,0,0,Gelijk
23-09-1962,De Volewijckers,Feijenoord,1,4,Verloren
23-09-1962,Blauw-Wit,DOS,1,1,Gelijk
23-09-1962,ADO,RKSV Volendam,0,0,Gelijk
23-09-1962,MVV,Fortuna '54,3,0,Gewonnen
23-09-1962,NAC,Ajax,2,0,Gewonnen
23-09-1962,SC Enschede,Willem II,5,2,Gewonnen
23-09-1962,GVAV,AVC Heracles,2,1,Gewonnen
30-09-1962,DOS,De Volewijckers,3,1,Gewonnen
30-09-1962,Feijenoord,ADO,1,1,Gelijk
30-09-1962,Ajax,GVAV,0,0,Gelijk
30-09-1962,PSV,SC Enschede,2,3,Verloren
30-09-1962,RKSV Volendam,NAC,2,0,Gewonnen
30-09-1962,Fortuna '54,Sparta,1,2,Verloren
30-09-1962,Willem II,Blauw-Wit,1,2,Verloren
30-09-1962,AVC Heracles,MVV,4,1,Gewonnen
07-10-1962,Sparta,AVC Heracles,2,1,Gewonnen
07-10-1962,DOS,Feijenoord,1,0,Gewonnen
07-10-1962,De Volewijckers,Willem II,0,4,Verloren
07-10-1962,Blauw-Wit,PSV,1,3,Verloren
07-10-1962,MVV,Ajax,2,2,Gelijk
07-10-1962,GVAV,RKSV Volendam,2,2,Gelijk
07-10-1962,SC Enschede,Fortuna '54,2,0,Gewonnen
07-10-1962,NAC,ADO,0,0,Gelijk
21-10-1962,Feijenoord,NAC,1,1,Gelijk
21-10-1962,ADO,GVAV,5,2,Gewonnen
21-10-1962,Ajax,Sparta,1,2,Verloren
21-10-1962,Fortuna '54,Blauw-Wit,2,1,Gewonnen
21-10-1962,RKSV Volendam,MVV,1,1,Gelijk
21-10-1962,Willem II,DOS,1,3,Verloren
21-10-1962,PSV,De Volewijckers,4,1,Gewonnen
21-10-1962,AVC Heracles,SC Enschede,3,2,Gewonnen
28-10-1962,Blauw-Wit,AVC Heracles,4,1,Gewonnen
28-10-1962,Sparta,RKSV Volendam,3,2,Gewonnen
28-10-1962,DOS,PSV,2,0,Gewonnen
28-10-1962,De Volewijckers,Fortuna '54,0,3,Verloren
28-10-1962,MVV,ADO,1,2,Verloren
28-10-1962,SC Enschede,Ajax,0,6,Verloren
28-10-1962,Willem II,Feijenoord,1,1,Gelijk
28-10-1962,GVAV,NAC,1,0,Gewonnen
04-11-1962,Ajax,Blauw-Wit,3,0,Gewonnen
04-11-1962,Feijenoord,GVAV,2,1,Gewonnen
04-11-1962,ADO,Sparta,1,0,Gewonnen
04-11-1962,PSV,Willem II,5,2,Gewonnen
04-11-1962,Fortuna '54,DOS,1,2,Verloren
04-11-1962,NAC,MVV,4,2,Gewonnen
04-11-1962,RKSV Volendam,SC Enschede,1,3,Verloren
04-11-1962,AVC Heracles,De Volewijckers,7,1,Gewonnen
18-11-1962,Blauw-Wit,RKSV Volendam,5,0,Gewonnen
18-11-1962,DOS,AVC Heracles,2,0,Gewonnen
18-11-1962,De Volewijckers,Ajax,0,5,Verloren
18-11-1962,Sparta,NAC,5,5,Gelijk
18-11-1962,PSV,Feijenoord,2,1,Gewonnen
18-11-1962,Willem II,Fortuna '54,2,3,Verloren
18-11-1962,SC Enschede,ADO,1,0,Gewonnen
18-11-1962,MVV,GVAV,4,1,Gewonnen
25-11-1962,ADO,Blauw-Wit,3,4,Verloren
25-11-1962,Feijenoord,MVV,1,0,Gewonnen
25-11-1962,Ajax,DOS,2,1,Gewonnen
25-11-1962,NAC,SC Enschede,0,1,Verloren
25-11-1962,RKSV Volendam,De Volewijckers,5,0,Gewonnen
25-11-1962,GVAV,Sparta,2,0,Gewonnen
25-11-1962,AVC Heracles,Willem II,3,3,Gelijk
25-11-1962,Fortuna '54,PSV,0,2,Verloren
02-12-1962,Sparta,MVV,3,2,Gewonnen
02-12-1962,Blauw-Wit,NAC,1,1,Gelijk
02-12-1962,De Volewijckers,ADO,0,2,Verloren
02-12-1962,DOS,RKSV Volendam,3,2,Gewonnen
02-12-1962,SC Enschede,GVAV,2,2,Gelijk
02-12-1962,Willem II,Ajax,2,3,Verloren
02-12-1962,Fortuna '54,Feijenoord,3,2,Gewonnen
02-12-1962,PSV,AVC Heracles,2,2,Gelijk
23-12-1962,De Volewijckers,GVAV,0,5,Verloren
23-12-1962,Feijenoord,AVC Heracles,6,2,Gewonnen
23-12-1962,DOS,NAC,1,3,Verloren
23-12-1962,Blauw-Wit,MVV,1,2,Verloren
23-12-1962,SC Enschede,Sparta,3,1,Gewonnen
23-12-1962,Fortuna '54,Ajax,1,0,Gewonnen
23-12-1962,Willem II,ADO,2,2,Gelijk
23-12-1962,PSV,RKSV Volendam,4,2,Gewonnen
26-12-1962,Sparta,Feijenoord,3,0,Gewonnen
