Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,27,4,3,58,96,19,77
Feyenoord,34,25,5,4,55,84,21,63
Go Ahead Eagles,34,17,8,9,42,65,41,24
ADO Den Haag,34,15,11,8,41,53,34,19
Sparta Rotterdam,34,15,10,9,40,53,33,20
GVAV,34,10,16,8,36,38,35,3
Xerxes/DHC,34,13,9,12,35,45,47,-2
FC Twente,34,13,8,13,34,56,58,-2
AFC DWS,34,12,8,14,32,47,57,-10
N.E.C.,34,9,13,12,31,41,51,-10
Telstar,34,11,7,16,29,43,55,-12
FC Volendam,34,8,13,13,29,39,56,-17
MVV Maastricht,34,8,12,14,28,37,50,-13
PSV,34,9,9,16,27,43,54,-11
NAC Breda,34,9,8,17,26,25,56,-31
DOS,34,6,13,15,25,40,64,-24
Fortuna '54,34,6,13,15,25,37,70,-33
Sittardia,34,6,7,21,19,38,79,-41
