Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,27,5,2,59,117,28,89
Ajax,34,23,4,7,50,78,40,38
FC Twente,34,16,9,9,41,63,40,23
Willem II,34,14,10,10,38,60,46,14
VVV-Venlo,34,13,12,9,38,43,35,8
Feyenoord,34,14,8,12,36,63,57,6
FC Den Bosch,34,15,6,13,36,46,46,0
Fortuna Sittard,34,11,13,10,35,51,48,3
HFC Haarlem,34,14,6,14,34,42,46,-4
FC Utrecht,34,11,11,12,33,41,55,-14
FC Groningen,34,13,6,15,32,54,52,2
Sparta Rotterdam,34,12,8,14,32,44,50,-6
PEC Zwolle,34,10,9,15,29,40,64,-24
FC Volendam,34,10,9,15,29,40,66,-26
Roda JC Kerkrade,34,10,8,16,28,46,54,-8
AZ,34,9,10,15,28,44,64,-20
ADO Den Haag,34,7,8,19,22,50,72,-22
FC Dordrecht,34,2,8,24,12,41,100,-59
