Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,27,5,2,86,117,28,89
Ajax,34,23,4,7,73,78,40,38
FC Twente,34,16,9,9,57,63,40,23
Willem II,34,14,10,10,52,60,46,14
VVV-Venlo,34,13,12,9,51,43,35,8
FC Den Bosch,34,15,6,13,51,46,46,0
Feyenoord,34,14,8,12,50,63,57,6
HFC Haarlem,34,14,6,14,48,42,46,-4
Fortuna Sittard,34,11,13,10,46,51,48,3
FC Groningen,34,13,6,15,45,54,52,2
Sparta Rotterdam,34,12,8,14,44,44,50,-6
FC Utrecht,34,11,11,12,44,41,55,-14
PEC Zwolle,34,10,9,15,39,40,64,-24
FC Volendam,34,10,9,15,39,40,66,-26
Roda JC Kerkrade,34,10,8,16,38,46,54,-8
AZ,34,9,10,15,37,44,64,-20
ADO Den Haag,34,7,8,19,29,50,72,-22
FC Dordrecht,34,2,8,24,14,41,100,-59
