Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,22,6,6,72,109,44,65,1
Feyenoord,34,20,10,4,70,94,32,62,2
PSV,34,18,9,7,63,72,48,24,3
DOS,34,18,4,12,58,75,57,18,4
NAC Breda,34,15,9,10,54,56,53,3,5
Sparta Rotterdam,34,14,6,14,48,53,52,1,6
VVV-Venlo,34,12,12,10,48,57,60,-3,7
SC Enschede,34,14,4,16,46,81,76,5,8
AFC DWS,34,13,6,15,45,51,59,-8,9
Willem II,34,11,11,12,44,65,69,-4,10
ADO Den Haag,34,13,5,16,44,62,68,-6,11
MVV Maastricht,34,13,5,16,44,60,69,-9,12
Rapid JC,34,10,12,12,42,46,55,-9,13
Fortuna '54,34,11,8,15,41,67,81,-14,14
Blauw-Wit,34,12,5,17,41,53,82,-29,15
USV Elinkwijk,34,9,11,14,38,37,48,-11,16
FC Volendam,34,10,3,21,33,54,88,-34,17
Sittardia,34,5,6,23,21,40,91,-51,18
