Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,22,6,6,50,109,44,65,1
Feyenoord,34,20,10,4,50,94,32,62,2
PSV,34,18,9,7,45,72,48,24,3
DOS,34,18,4,12,40,75,57,18,4
NAC Breda,34,15,9,10,39,56,53,3,5
VVV-Venlo,34,12,12,10,36,57,60,-3,6
Sparta Rotterdam,34,14,6,14,34,53,52,1,7
Willem II,34,11,11,12,33,65,69,-4,8
SC Enschede,34,14,4,16,32,81,76,5,9
AFC DWS,34,13,6,15,32,51,59,-8,10
Rapid JC,34,10,12,12,32,46,55,-9,11
ADO Den Haag,34,13,5,16,31,62,68,-6,12
MVV Maastricht,34,13,5,16,31,60,69,-9,13
Fortuna '54,34,11,8,15,30,67,81,-14,14
USV Elinkwijk,34,9,11,14,29,37,48,-11,15
Blauw-Wit,34,12,5,17,29,53,82,-29,16
FC Volendam,34,10,3,21,23,54,88,-34,17
Sittardia,34,5,6,23,16,40,91,-51,18
