Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,25,18,2,5,56,68,23,45
AZ,25,18,2,5,56,54,17,37
Feyenoord,25,14,8,3,50,50,35,15
PSV,26,14,7,5,49,54,28,26
Willem II,26,13,5,8,44,37,34,3
FC Utrecht,25,12,5,8,41,50,34,16
Vitesse,26,12,5,9,41,45,35,10
Heracles Almelo,26,10,6,10,36,40,34,6
FC Groningen,26,10,5,11,35,27,26,1
sc Heerenveen,26,8,9,9,33,41,41,0
Sparta Rotterdam,26,9,6,11,33,41,45,-4
FC Emmen,26,9,5,12,32,32,45,-13
VVV-Venlo,26,8,4,14,28,24,51,-27
FC Twente,26,7,6,13,27,34,46,-12
PEC Zwolle,26,7,5,14,26,37,55,-18
Fortuna Sittard,26,6,8,12,26,29,52,-23
ADO Den Haag,26,4,7,15,19,25,54,-29
RKC Waalwijk,26,4,3,19,15,27,60,-33
