Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,26,2,6,54,86,26,60,1
Feyenoord,34,19,13,2,51,61,27,34,2
PSV,34,17,10,7,44,60,36,24,3
Vitesse,34,17,6,11,40,63,37,26,4
FC Twente,34,15,9,10,39,57,43,14,5
Roda JC Kerkrade,34,15,8,11,38,55,40,15,6
NAC Breda,34,14,10,10,38,61,52,9,7
Willem II,34,15,7,12,37,48,42,6,8
Sparta Rotterdam,34,12,8,14,32,58,57,1,9
MVV Maastricht,34,11,10,13,32,49,58,-9,10
FC Volendam,34,13,4,17,30,46,55,-9,11
Go Ahead Eagles,34,10,8,16,28,44,57,-13,12
sc Heerenveen,34,9,10,15,28,35,61,-26,13
FC Groningen,34,9,8,17,26,42,65,-23,14
FC Utrecht,34,9,8,17,26,40,63,-23,15
RKC Waalwijk,34,8,9,17,25,38,56,-18,16
VVV-Venlo,34,7,11,16,25,30,62,-32,17
SC Cambuur,34,6,7,21,19,28,64,-36,18
