Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
12-09-2020,sc Heerenveen,Willem II,2,0,Gewonnen
12-09-2020,PEC Zwolle,Feyenoord,0,2,Verloren
12-09-2020,FC Twente,Fortuna Sittard,2,0,Gewonnen
13-09-2020,FC Emmen,VVV-Venlo,3,5,Verloren
13-09-2020,Sparta Rotterdam,Ajax,0,1,Verloren
13-09-2020,Heracles Almelo,ADO Den Haag,2,0,Gewonnen
13-09-2020,FC Groningen,PSV,1,3,Verloren
13-09-2020,RKC Waalwijk,Vitesse,0,1,Verloren
18-09-2020,VVV-Venlo,FC Utrecht,1,1,Gelijk
19-09-2020,AZ,PEC Zwolle,1,1,Gelijk
19-09-2020,Vitesse,Sparta Rotterdam,2,0,Gewonnen
19-09-2020,PSV,FC Emmen,2,1,Gewonnen
19-09-2020,Fortuna Sittard,sc Heerenveen,1,3,Verloren
20-09-2020,ADO Den Haag,FC Groningen,0,1,Verloren
20-09-2020,Feyenoord,FC Twente,1,1,Gelijk
20-09-2020,Willem II,Heracles Almelo,4,0,Gewonnen
20-09-2020,Ajax,RKC Waalwijk,3,0,Gewonnen
25-09-2020,FC Twente,FC Groningen,3,1,Gewonnen
26-09-2020,PEC Zwolle,Sparta Rotterdam,4,0,Gewonnen
26-09-2020,Fortuna Sittard,AZ,3,3,Gelijk
26-09-2020,sc Heerenveen,VVV-Venlo,1,0,Gewonnen
26-09-2020,Ajax,Vitesse,2,1,Gewonnen
27-09-2020,Feyenoord,ADO Den Haag,4,2,Gewonnen
27-09-2020,FC Utrecht,RKC Waalwijk,3,1,Gewonnen
27-09-2020,Heracles Almelo,PSV,1,1,Gelijk
27-09-2020,FC Emmen,Willem II,1,1,Gelijk
02-10-2020,FC Utrecht,sc Heerenveen,1,1,Gelijk
03-10-2020,Vitesse,Heracles Almelo,3,0,Gewonnen
03-10-2020,VVV-Venlo,ADO Den Haag,1,2,Verloren
03-10-2020,FC Twente,FC Emmen,1,1,Gelijk
04-10-2020,FC Groningen,Ajax,1,0,Gewonnen
04-10-2020,Sparta Rotterdam,AZ,4,4,Gelijk
04-10-2020,Willem II,Feyenoord,1,4,Verloren
