Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,24,6,4,78,93,31,62,1
Feyenoord,34,19,13,2,70,62,19,43,2
PSV,34,20,9,5,69,65,23,42,3
AZ,34,19,7,8,64,84,43,41,4
Roda JC Kerkrade,34,18,8,8,62,58,33,25,5
Sparta Rotterdam,34,14,5,15,47,47,48,-1,6
ADO Den Haag,34,11,11,12,44,43,55,-12,7
Go Ahead Eagles,34,11,9,14,42,48,48,0,8
FC Utrecht,34,10,10,14,40,43,55,-12,9
MVV Maastricht,34,9,13,12,40,26,45,-19,10
FC Twente,34,9,12,13,39,54,58,-4,11
NAC Breda,34,8,15,11,39,41,51,-10,12
PEC Zwolle,34,7,18,9,39,36,46,-10,13
Vitesse,34,7,15,12,36,42,63,-21,14
N.E.C.,34,7,14,13,35,35,49,-14,15
HFC Haarlem,34,6,13,15,31,31,64,-33,16
FC Volendam,34,7,8,19,29,42,63,-21,17
VVV-Venlo,34,4,6,24,18,23,79,-56,18
