Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
26-08-1978,VVV-Venlo,ADO Den Haag,1,0,Gewonnen
26-08-1978,Go Ahead Eagles,HFC Haarlem,2,2,Gelijk
26-08-1978,NAC Breda,Ajax,1,7,Verloren
26-08-1978,PSV,AZ,3,1,Gewonnen
27-08-1978,Vitesse,Sparta Rotterdam,2,2,Gelijk
27-08-1978,FC Twente,PEC Zwolle,1,1,Gelijk
27-08-1978,FC Volendam,FC Utrecht,0,1,Verloren
27-08-1978,Roda JC Kerkrade,MVV Maastricht,3,0,Gewonnen
27-08-1978,Feyenoord,N.E.C.,0,0,Gelijk
30-08-1978,N.E.C.,Roda JC Kerkrade,0,0,Gelijk
30-08-1978,HFC Haarlem,PSV,0,5,Verloren
30-08-1978,MVV Maastricht,FC Volendam,0,2,Verloren
30-08-1978,ADO Den Haag,Vitesse,2,0,Gewonnen
30-08-1978,AZ,VVV-Venlo,8,1,Gewonnen
30-08-1978,Sparta Rotterdam,Feyenoord,1,0,Gewonnen
30-08-1978,FC Utrecht,FC Twente,1,1,Gelijk
30-08-1978,PEC Zwolle,NAC Breda,1,1,Gelijk
30-08-1978,Ajax,Go Ahead Eagles,3,2,Gewonnen
02-09-1978,MVV Maastricht,FC Twente,0,0,Gelijk
02-09-1978,Sparta Rotterdam,Roda JC Kerkrade,0,1,Verloren
02-09-1978,AZ,Vitesse,0,2,Verloren
02-09-1978,ADO Den Haag,Feyenoord,1,1,Gelijk
02-09-1978,Go Ahead Eagles,PSV,1,1,Gelijk
02-09-1978,N.E.C.,FC Volendam,4,1,Gewonnen
03-09-1978,HFC Haarlem,VVV-Venlo,2,0,Gewonnen
03-09-1978,FC Utrecht,NAC Breda,1,1,Gelijk
03-09-1978,Ajax,PEC Zwolle,4,2,Gewonnen
06-09-1978,Vitesse,AZ,3,4,Verloren
06-09-1978,VVV-Venlo,HFC Haarlem,1,0,Gewonnen
06-09-1978,NAC Breda,FC Utrecht,3,2,Gewonnen
06-09-1978,PSV,Go Ahead Eagles,1,0,Gewonnen
06-09-1978,FC Volendam,N.E.C.,0,0,Gelijk
06-09-1978,FC Twente,MVV Maastricht,3,0,Gewonnen
06-09-1978,Feyenoord,ADO Den Haag,2,0,Gewonnen
06-09-1978,PEC Zwolle,Ajax,0,3,Verloren
06-09-1978,Roda JC Kerkrade,Sparta Rotterdam,4,0,Gewonnen
09-09-1978,Ajax,PSV,2,0,Gewonnen
09-09-1978,ADO Den Haag,Roda JC Kerkrade,0,3,Verloren
09-09-1978,AZ,Feyenoord,2,2,Gelijk
09-09-1978,Sparta Rotterdam,FC Volendam,3,0,Gewonnen
09-09-1978,N.E.C.,FC Twente,0,0,Gelijk
09-09-1978,MVV Maastricht,NAC Breda,1,1,Gelijk
09-09-1978,Go Ahead Eagles,VVV-Venlo,2,0,Gewonnen
10-09-1978,FC Utrecht,PEC Zwolle,1,1,Gelijk
10-09-1978,HFC Haarlem,Vitesse,1,1,Gelijk
16-09-1978,PEC Zwolle,MVV Maastricht,0,2,Verloren
16-09-1978,NAC Breda,N.E.C.,2,2,Gelijk
17-09-1978,FC Volendam,ADO Den Haag,1,1,Gelijk
17-09-1978,FC Twente,Sparta Rotterdam,2,1,Gewonnen
17-09-1978,VVV-Venlo,PSV,0,5,Verloren
17-09-1978,Vitesse,Go Ahead Eagles,0,0,Gelijk
17-09-1978,Feyenoord,HFC Haarlem,5,0,Gewonnen
17-09-1978,FC Utrecht,Ajax,1,4,Verloren
17-09-1978,Roda JC Kerkrade,AZ,3,1,Gewonnen
23-09-1978,Go Ahead Eagles,Feyenoord,2,1,Gewonnen
23-09-1978,MVV Maastricht,FC Utrecht,1,0,Gewonnen
23-09-1978,N.E.C.,PEC Zwolle,0,0,Gelijk
23-09-1978,PSV,Vitesse,5,0,Gewonnen
23-09-1978,Sparta Rotterdam,NAC Breda,3,2,Gewonnen
23-09-1978,ADO Den Haag,FC Twente,0,0,Gelijk
23-09-1978,AZ,FC Volendam,4,1,Gewonnen
23-09-1978,Ajax,VVV-Venlo,4,0,Gewonnen
24-09-1978,HFC Haarlem,Roda JC Kerkrade,1,1,Gelijk
30-09-1978,MVV Maastricht,Ajax,1,0,Gewonnen
30-09-1978,PEC Zwolle,Sparta Rotterdam,0,0,Gelijk
30-09-1978,NAC Breda,ADO Den Haag,3,1,Gewonnen
01-10-1978,Feyenoord,PSV,1,0,Gewonnen
