Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,22,6,6,50,77,41,36
AZ,34,20,7,7,47,77,36,41
PSV,34,18,8,8,44,66,37,29
Feyenoord,34,15,13,6,43,58,36,22
FC Utrecht,34,14,11,9,39,49,35,14
FC Twente,34,16,7,11,39,49,41,8
Roda JC Kerkrade,34,14,8,12,36,51,49,2
Willem II,34,11,12,11,34,43,63,-20
Excelsior Rotterdam,34,10,11,13,31,56,60,-4
ADO Den Haag,34,11,9,14,31,38,43,-5
MVV Maastricht,34,10,11,13,31,46,53,-7
Go Ahead Eagles,34,12,6,16,30,51,52,-1
Sparta Rotterdam,34,10,7,17,27,45,55,-10
PEC Zwolle,34,9,9,16,27,36,47,-11
N.E.C.,34,11,5,18,27,33,50,-17
NAC Breda,34,10,7,17,27,35,59,-24
Vitesse,34,6,13,15,25,35,59,-24
HFC Haarlem,34,7,10,17,24,38,67,-29
