Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Ajax,34,22,6,6,72,77,41,36
AZ,34,20,7,7,67,77,36,41
PSV,34,18,8,8,62,66,37,29
Feyenoord,34,15,13,6,58,58,36,22
FC Twente,34,16,7,11,55,49,41,8
FC Utrecht,34,14,11,9,53,49,35,14
Roda JC Kerkrade,34,14,8,12,50,51,49,2
Willem II,34,11,12,11,45,43,63,-20
Go Ahead Eagles,34,12,6,16,42,51,52,-1
ADO Den Haag,34,11,9,14,42,38,43,-5
Excelsior Rotterdam,34,10,11,13,41,56,60,-4
MVV Maastricht,34,10,11,13,41,46,53,-7
N.E.C.,34,11,5,18,38,33,50,-17
Sparta Rotterdam,34,10,7,17,37,45,55,-10
NAC Breda,34,10,7,17,37,35,59,-24
PEC Zwolle,34,9,9,16,36,36,47,-11
Vitesse,34,6,13,15,31,35,59,-24
HFC Haarlem,34,7,10,17,31,38,67,-29
