Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,26,5,3,83,73,21,52,1
Ajax,34,25,4,5,79,90,34,56,2
FC Twente,34,21,5,8,68,69,38,31,3
Go Ahead Eagles,34,19,7,8,64,63,34,29,4
PSV,34,17,10,7,61,54,36,18,5
ADO Den Haag,34,12,13,9,49,45,37,8,6
AFC DWS,34,13,8,13,47,42,41,1,7
Sparta Rotterdam,34,11,12,11,45,45,33,12,8
NAC Breda,34,10,15,9,45,50,48,2,9
Holland Sport,34,12,9,13,45,32,45,-13,10
N.E.C.,34,9,9,16,36,29,38,-9,11
GVAV,34,8,12,14,36,32,48,-16,12
MVV Maastricht,34,7,12,15,33,34,46,-12,13
Telstar,34,7,10,17,31,33,65,-32,14
DOS,34,7,9,18,30,37,74,-37,15
FC Volendam,34,6,11,17,29,24,45,-21,16
AZ,34,5,13,16,28,27,53,-26,17
Fortuna Sittard,34,3,12,19,21,18,61,-43,18
