Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,26,5,3,57,73,21,52,1
Ajax,34,25,4,5,54,90,34,56,2
FC Twente,34,21,5,8,47,69,38,31,3
Go Ahead Eagles,34,19,7,8,45,63,34,29,4
PSV,34,17,10,7,44,54,36,18,5
ADO Den Haag,34,12,13,9,37,45,37,8,6
NAC Breda,34,10,15,9,35,50,48,2,7
Sparta Rotterdam,34,11,12,11,34,45,33,12,8
AFC DWS,34,13,8,13,34,42,41,1,9
Holland Sport,34,12,9,13,33,32,45,-13,10
GVAV,34,8,12,14,28,32,48,-16,11
N.E.C.,34,9,9,16,27,29,38,-9,12
MVV Maastricht,34,7,12,15,26,34,46,-12,13
Telstar,34,7,10,17,24,33,65,-32,14
FC Volendam,34,6,11,17,23,24,45,-21,15
AZ,34,5,13,16,23,27,53,-26,16
DOS,34,7,9,18,23,37,74,-37,17
Fortuna Sittard,34,3,12,19,18,18,61,-43,18
