Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
18-08-1968,DWS,FC Twente,1,3,Verloren
18-08-1968,Sparta,NEC,0,3,Verloren
18-08-1968,ADO,RKSV Volendam,4,0,Gewonnen
18-08-1968,AZ '67,Holland Sport,2,0,Gewonnen
18-08-1968,PSV,Telstar,2,0,Gewonnen
18-08-1968,GVAV,DOS,3,0,Gewonnen
18-08-1968,NAC,Fortuna Sittardia Combinatie,5,1,Gewonnen
18-08-1968,Go Ahead,Ajax,2,1,Gewonnen
18-08-1968,MVV,Feijenoord,2,3,Verloren
25-08-1968,Ajax,NAC,8,1,Gewonnen
25-08-1968,Holland Sport,ADO,1,3,Verloren
25-08-1968,Feijenoord,DWS,3,0,Gewonnen
25-08-1968,DOS,Go Ahead,0,4,Verloren
25-08-1968,NEC,MVV,1,0,Gewonnen
25-08-1968,Telstar,AZ '67,1,1,Gelijk
25-08-1968,Fortuna Sittardia Combinatie,Sparta,0,2,Verloren
25-08-1968,RKSV Volendam,GVAV,2,0,Gewonnen
25-08-1968,FC Twente,PSV,2,1,Gewonnen
01-09-1968,ADO,Telstar,2,2,Gelijk
01-09-1968,AZ '67,FC Twente,1,2,Verloren
01-09-1968,PSV,Feijenoord,0,3,Verloren
01-09-1968,Sparta,Ajax,0,1,Verloren
01-09-1968,DWS,MVV,2,0,Gewonnen
01-09-1968,NAC,DOS,1,0,Gewonnen
01-09-1968,Go Ahead,RKSV Volendam,1,0,Gewonnen
01-09-1968,GVAV,Holland Sport,1,0,Gewonnen
01-09-1968,Fortuna Sittardia Combinatie,NEC,1,1,Gelijk
08-09-1968,Feijenoord,AZ '67,2,0,Gewonnen
08-09-1968,Ajax,Fortuna Sittardia Combinatie,2,0,Gewonnen
08-09-1968,Holland Sport,Go Ahead,1,0,Gewonnen
08-09-1968,Telstar,GVAV,1,1,Gelijk
08-09-1968,MVV,PSV,2,4,Verloren
08-09-1968,DOS,Sparta,0,3,Verloren
08-09-1968,FC Twente,ADO,2,0,Gewonnen
08-09-1968,NEC,DWS,2,1,Gewonnen
08-09-1968,RKSV Volendam,NAC,0,0,Gelijk
22-09-1968,Sparta,RKSV Volendam,1,1,Gelijk
22-09-1968,AZ '67,MVV,4,1,Gewonnen
22-09-1968,ADO,Feijenoord,2,3,Verloren
