Datum,Thuis,Uit,Thuis Doelpunten,Uit Doelpunten,Uitslag
10-08-2012,Willem II,NAC Breda,1,1,Gelijk
11-08-2012,RKC Waalwijk,PSV,3,2,Gewonnen
11-08-2012,Roda JC Kerkrade,PEC Zwolle,1,1,Gelijk
11-08-2012,Heracles Almelo,VVV-Venlo,1,1,Gelijk
12-08-2012,FC Utrecht,Feyenoord,0,1,Verloren
12-08-2012,sc Heerenveen,NEC,0,2,Verloren
12-08-2012,Vitesse,ADO Den Haag,2,2,Gelijk
12-08-2012,FC Twente,FC Groningen,4,1,Gewonnen
12-08-2012,Ajax,AZ,2,2,Gelijk
18-08-2012,PSV,Roda JC Kerkrade,5,0,Gewonnen
18-08-2012,VVV-Venlo,FC Utrecht,1,3,Verloren
18-08-2012,NAC Breda,FC Twente,0,1,Verloren
18-08-2012,PEC Zwolle,Vitesse,0,1,Verloren
18-08-2012,Feyenoord,sc Heerenveen,1,1,Gelijk
19-08-2012,FC Groningen,Willem II,1,1,Gelijk
19-08-2012,ADO Den Haag,RKC Waalwijk,2,2,Gelijk
19-08-2012,AZ,Heracles Almelo,3,1,Gewonnen
19-08-2012,NEC,Ajax,1,6,Verloren
24-08-2012,RKC Waalwijk,Roda JC Kerkrade,1,0,Gewonnen
25-08-2012,FC Utrecht,PEC Zwolle,1,1,Gelijk
25-08-2012,VVV-Venlo,ADO Den Haag,2,4,Verloren
25-08-2012,Ajax,NAC Breda,5,0,Gewonnen
26-08-2012,AZ,sc Heerenveen,0,0,Gelijk
26-08-2012,Heracles Almelo,Feyenoord,1,2,Verloren
26-08-2012,Willem II,Vitesse,0,2,Verloren
26-08-2012,NEC,FC Twente,1,3,Verloren
26-08-2012,FC Groningen,PSV,1,3,Verloren
31-08-2012,ADO Den Haag,FC Groningen,0,1,Verloren
01-09-2012,Roda JC Kerkrade,Willem II,3,0,Gewonnen
01-09-2012,PEC Zwolle,NEC,0,4,Verloren
01-09-2012,RKC Waalwijk,Heracles Almelo,1,1,Gelijk
01-09-2012,NAC Breda,FC Utrecht,1,1,Gelijk
02-09-2012,Vitesse,Feyenoord,1,0,Gewonnen
02-09-2012,FC Twente,VVV-Venlo,1,0,Gewonnen
02-09-2012,PSV,AZ,5,1,Gewonnen
02-09-2012,sc Heerenveen,Ajax,2,2,Gelijk
15-09-2012,Ajax,RKC Waalwijk,2,0,Gewonnen
15-09-2012,Willem II,FC Twente,2,6,Verloren
15-09-2012,VVV-Venlo,NEC,2,2,Gelijk
15-09-2012,sc Heerenveen,ADO Den Haag,1,3,Verloren
15-09-2012,Feyenoord,PEC Zwolle,2,0,Gewonnen
16-09-2012,Heracles Almelo,NAC Breda,2,1,Gewonnen
16-09-2012,AZ,Roda JC Kerkrade,4,0,Gewonnen
