Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,23,7,4,76,84,28,56,1
Ajax,34,22,9,3,75,75,21,54,2
FC Groningen,34,18,10,6,64,62,38,24,3
FC Utrecht,34,16,10,8,58,42,29,13,4
FC Twente,34,13,10,11,49,58,48,10,5
Vitesse,34,11,15,8,48,39,32,7,6
RKC Waalwijk,34,11,13,10,46,51,49,2,7
Willem II,34,13,4,17,43,53,50,3,8
Roda JC Kerkrade,34,12,7,15,43,40,53,-13,9
FC Volendam,34,10,12,12,42,37,45,-8,10
Feyenoord,34,8,16,10,40,39,40,-1,11
Fortuna Sittard,34,9,12,13,39,33,47,-14,12
ADO Den Haag,34,10,8,16,38,40,60,-20,13
Sparta Rotterdam,34,7,15,12,36,40,57,-17,14
MVV Maastricht,34,9,9,16,36,38,56,-18,15
sc Heerenveen,34,9,6,19,33,41,63,-22,16
SVV,34,8,8,18,32,31,52,-21,17
N.E.C.,34,6,11,17,29,27,62,-35,18
