Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,26,6,2,58,106,41,65,1
Feyenoord,34,22,10,2,54,72,39,33,2
PSV,34,21,9,4,51,80,34,46,3
Sparta Rotterdam,34,12,13,9,37,64,52,12,4
FC Groningen,34,11,15,8,37,67,57,10,5
Roda JC Kerkrade,34,13,9,12,35,56,52,4,6
HFC Haarlem,34,13,9,12,35,49,53,-4,7
Fortuna Sittard,34,11,11,12,33,41,48,-7,8
Excelsior Rotterdam,34,13,6,15,32,44,47,-3,9
FC Utrecht,34,11,9,14,31,51,57,-6,10
AZ,34,11,8,15,30,49,40,9,11
Go Ahead Eagles,34,9,11,14,29,44,59,-15,12
PEC Zwolle,34,10,7,17,27,40,58,-18,13
Willem II,34,9,8,17,26,49,62,-13,14
Helmond Sport,34,8,10,16,26,44,70,-26,15
FC Twente,34,7,11,16,25,36,60,-24,16
NAC Breda,34,6,12,16,24,39,75,-36,17
N.E.C.,34,4,14,16,22,34,61,-27,18
