Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,24,5,5,53,78,31,47,1
Ajax,34,22,6,6,50,74,32,42,2
FC Twente,34,11,18,5,40,47,25,22,3
Feyenoord,34,15,10,9,40,66,52,14,4
Roda JC Kerkrade,34,13,12,9,38,52,38,14,5
FC Groningen,34,14,8,12,36,62,51,11,6
FC Den Bosch,34,15,6,13,36,48,53,-5,7
Fortuna Sittard,34,11,12,11,34,40,37,3,8
FC Volendam,34,13,7,14,33,42,51,-9,9
HFC Haarlem,34,11,11,12,33,37,50,-13,10
RKC Waalwijk,34,11,9,14,31,53,61,-8,11
Sparta Rotterdam,34,9,12,13,30,42,50,-8,12
FC Utrecht,34,11,7,16,29,49,57,-8,13
MVV Maastricht,34,10,9,15,29,41,58,-17,14
Willem II,34,8,11,15,27,50,68,-18,15
PEC Zwolle,34,8,9,17,25,48,70,-22,16
VVV-Venlo,34,5,14,15,24,40,62,-22,17
SC Veendam,34,8,8,18,24,37,60,-23,18
