Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,24,5,5,77,78,31,47,1
Ajax,34,22,6,6,72,74,32,42,2
Feyenoord,34,15,10,9,55,66,52,14,3
FC Twente,34,11,18,5,51,47,25,22,4
Roda JC Kerkrade,34,13,12,9,51,52,38,14,5
FC Den Bosch,34,15,6,13,51,48,53,-5,6
FC Groningen,34,14,8,12,50,62,51,11,7
FC Volendam,34,13,7,14,46,42,51,-9,8
Fortuna Sittard,34,11,12,11,45,40,37,3,9
HFC Haarlem,34,11,11,12,44,37,50,-13,10
RKC Waalwijk,34,11,9,14,42,53,61,-8,11
FC Utrecht,34,11,7,16,40,49,57,-8,12
Sparta Rotterdam,34,9,12,13,39,42,50,-8,13
MVV Maastricht,34,10,9,15,39,41,58,-17,14
Willem II,34,8,11,15,35,50,68,-18,15
PEC Zwolle,34,8,9,17,33,48,70,-22,16
SC Veendam,34,8,8,18,32,37,60,-23,17
VVV-Venlo,34,5,14,15,29,40,62,-22,18
