Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,26,6,2,84,88,32,56
Ajax,34,25,7,2,82,81,21,60
Feyenoord,34,19,6,9,63,62,40,22
AZ,34,18,5,11,59,70,53,17
FC Utrecht,34,15,8,11,53,57,48,9
Heracles Almelo,34,14,9,11,51,47,49,-2
FC Groningen,34,14,8,12,50,41,48,-7
PEC Zwolle,34,14,6,14,48,56,54,2
Vitesse,34,12,10,12,46,55,38,17
N.E.C.,34,13,7,14,46,37,42,-5
ADO Den Haag,34,10,13,11,43,48,49,-1
FC Twente,34,12,7,15,43,49,64,-15
sc Heerenveen,34,11,9,14,42,46,61,-15
Roda JC Kerkrade,34,8,10,16,34,34,55,-21
Excelsior Rotterdam,34,7,9,18,30,34,60,-26
Willem II,34,6,11,17,29,35,53,-18
De Graafschap,34,5,8,21,23,39,66,-27
SC Cambuur,34,3,9,22,18,33,79,-46
