Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
AFC DWS,30,19,5,6,43,58,28,30,1
PSV,30,18,5,7,41,66,42,24,2
SC Enschede,30,14,11,5,39,63,45,18,3
Feyenoord,30,16,5,9,37,77,33,44,4
Ajax,30,13,8,9,34,63,40,23,5
NAC Breda,30,14,6,10,34,56,53,3,6
Fortuna '54,30,10,10,10,30,50,48,2,7
GVAV,30,11,8,11,30,46,45,1,8
DOS,30,12,6,12,30,52,54,-2,9
ADO Den Haag,30,12,6,12,30,47,60,-13,10
MVV Maastricht,30,9,9,12,27,40,53,-13,11
Go Ahead Eagles,30,7,10,13,24,42,62,-20,12
Heracles Almelo,30,8,7,15,23,44,65,-21,13
Sparta Rotterdam,30,6,10,14,22,34,52,-18,14
Blauw-Wit,30,5,8,17,18,44,71,-27,15
FC Volendam,30,4,10,16,18,43,74,-31,16
